时间,真实值,预测值
2017-04-28 19:00:00,5.765939,6.88457
2017-04-28 19:30:00,0.031283066,1.6252419
2017-04-28 20:00:00,-3.8123126,-3.3150632
2017-04-28 20:30:00,9.890299,14.172259
2017-04-28 21:00:00,-10.690376,-8.758295
2017-04-28 21:30:00,12.912491,18.428268
2017-04-28 22:00:00,7.6269813,8.146258
2017-04-28 22:30:00,10.78895,7.1899776
2017-04-28 23:00:00,4.7147675,10.174555
2017-04-28 23:30:00,1.5043031,2.6093261
2017-04-29 00:00:00,0.51726454,0.47352055
2017-04-29 00:30:00,0.51726454,0.30934218
2017-04-29 01:00:00,0.51726454,0.51098394
2017-04-29 01:30:00,2.5319226,3.2311285
2017-04-29 02:00:00,7.5335994,-10.262429
2017-04-29 02:30:00,0.51726454,0.4634246
2017-04-29 03:00:00,-4.0659018,-5.0898957
2017-04-29 03:30:00,-0.71051383,-1.0081238
2017-04-29 04:00:00,5.13632,4.5609546
2017-04-29 04:30:00,-28.90434,-37.16331
2017-04-29 05:00:00,5.742755,5.6668763
2017-04-29 05:30:00,0.51726454,0.48664677
2017-04-29 06:00:00,-19.720848,-31.650484
2017-04-29 06:30:00,-21.30196,-31.266165
2017-04-29 07:00:00,6.371904,12.151495
2017-04-29 07:30:00,13.734804,19.940252
2017-04-29 08:00:00,3.183209,5.283409
2017-04-29 08:30:00,-19.992208,-27.119331
2017-04-29 09:00:00,18.287418,13.240825
2017-04-29 09:30:00,-17.00005,-19.866137
2017-04-29 10:00:00,2.016738,2.3852358
2017-04-29 10:30:00,-3.8842926,-2.1611497
2017-04-29 11:00:00,-18.383114,-6.2032547
2017-04-29 11:30:00,2.6780937,4.0656734
2017-04-29 12:00:00,3.8030696,3.023756
2017-04-29 12:30:00,-4.5303187,-4.1445494
2017-04-29 13:00:00,1.8497835,0.72890365
2017-04-29 13:30:00,2.8389761,2.7313306
2017-04-29 14:00:00,5.481334,5.330081
2017-04-29 14:30:00,6.7017584,10.471603
2017-04-29 15:00:00,-13.159621,-9.514724
2017-04-29 15:30:00,0.51726454,0.5365993
2017-04-29 16:00:00,2.7577424,7.077276
2017-04-29 16:30:00,-14.477895,-15.268184
2017-04-29 17:00:00,20.3085,14.572418
2017-04-29 17:30:00,0.51726454,0.67995995
2017-04-29 18:00:00,0.51726454,0.4816443
2017-04-29 18:30:00,-17.03187,-18.372093
2017-04-29 19:00:00,-2.4573944,-1.9967667
2017-04-29 19:30:00,1.5247984,2.523082
2017-04-29 20:00:00,4.6732006,6.8756003
2017-04-29 20:30:00,7.329724,4.2778964
2017-04-29 21:00:00,7.110196,8.1096525
2017-04-29 21:30:00,13.646312,6.8895345
2017-04-29 22:00:00,6.5734773,6.5710044
2017-04-29 22:30:00,-9.199448,-13.4065695
2017-04-29 23:00:00,-0.7490923,-0.5745677
2017-04-29 23:30:00,0.51726454,0.5425271
2017-04-30 00:00:00,-8.473022,-8.4480295
2017-04-30 00:30:00,6.03157,5.7699823
2017-04-30 01:00:00,-11.204745,-3.2882268
2017-04-30 01:30:00,15.082039,17.838903
2017-04-30 02:00:00,-11.818151,-11.454713
2017-04-30 02:30:00,0.51726454,0.49254048
2017-04-30 03:00:00,0.51726454,0.55150044
2017-04-30 03:30:00,2.8742476,1.633597
2017-04-30 04:00:00,0.51726454,0.37320974
2017-04-30 04:30:00,4.18819,3.9882662
2017-04-30 05:00:00,7.2279115,9.312824
2017-04-30 05:30:00,-18.680471,-37.781548
2017-04-30 06:00:00,0.51726454,0.5697467
2017-04-30 06:30:00,-5.4583592,-6.8664384
2017-04-30 07:00:00,4.6784115,0.97662187
2017-04-30 07:30:00,2.4164262,2.4566052
2017-04-30 08:00:00,0.51726454,0.4557749
2017-04-30 08:30:00,0.51726454,0.16062629
2017-04-30 09:00:00,36.731068,53.243614
2017-04-30 09:30:00,13.093903,15.454033
2017-04-30 10:00:00,0.51726454,0.21839914
2017-04-30 10:30:00,-0.22631492,0.6133048
2017-04-30 11:00:00,-3.5880477,-2.527592
2017-04-30 11:30:00,0.51726454,0.48963535
2017-04-30 12:00:00,5.9942393,5.862006
2017-04-30 12:30:00,-2.4092398,-1.4359152
2017-04-30 13:00:00,-19.82463,-15.531205
2017-04-30 13:30:00,2.2572694,4.2913074
2017-04-30 14:00:00,-16.299513,-23.004948
2017-04-30 14:30:00,1.2360138,3.6449554
2017-04-30 15:00:00,-4.4180727,-0.32629952
2017-04-30 15:30:00,0.67681587,1.4448729
2017-04-30 16:00:00,5.258321,4.999896
2017-04-30 16:30:00,25.967873,22.847229
2017-04-30 17:00:00,1.9075791,3.1242223
2017-04-30 17:30:00,3.0986526,3.7905767
2017-04-30 18:00:00,-10.253282,-4.098105
2017-04-30 18:30:00,2.3530896,1.4600623
2017-04-30 19:00:00,2.4933252,3.1104817
2017-04-30 19:30:00,0.51726454,0.59361356
2017-04-30 20:00:00,-9.6779995,-1.4591222
2017-04-30 20:30:00,7.44219,9.172998
2017-04-30 21:00:00,-7.6684694,-5.679249
2017-04-30 21:30:00,0.51726454,0.42468688
2017-04-30 22:00:00,-2.92304,-3.5297782
2017-04-30 22:30:00,0.51726454,0.39939773
2017-04-30 23:00:00,-2.6929536,-3.5275936
2017-04-30 23:30:00,6.5027413,9.298325
2017-05-01 00:00:00,-12.873256,-9.079643
2017-05-01 00:30:00,6.542939,6.8459234
2017-05-01 01:00:00,2.4512122,3.1340225
2017-05-01 01:30:00,9.425518,7.1462793
2017-05-01 02:00:00,0.51726454,0.5222973
2017-05-01 02:30:00,0.51726454,0.40870482
2017-05-01 03:00:00,-4.215103,-3.8028653
2017-05-01 03:30:00,-33.85328,-52.082664
2017-05-01 04:00:00,-3.8222568,0.5096983
2017-05-01 04:30:00,0.51726454,0.69629854
2017-05-01 05:00:00,0.51726454,0.5486977
2017-05-01 05:30:00,13.422665,15.786122
2017-05-01 06:00:00,0.51726454,0.5767137
2017-05-01 06:30:00,8.392911,5.1538496
2017-05-01 07:00:00,-8.4180975,-8.239227
2017-05-01 07:30:00,0.51726454,2.090493
2017-05-01 08:00:00,-23.40834,-28.481628
2017-05-01 08:30:00,1.7228789,1.8745265
2017-05-01 09:00:00,-33.956604,-48.51833
2017-05-01 09:30:00,0.51726454,0.49959853
2017-05-01 10:00:00,2.486089,2.8974583
2017-05-01 10:30:00,0.51726454,0.3569167
2017-05-01 11:00:00,-2.7578187,-1.3650314
2017-05-01 11:30:00,4.8353195,3.606286
2017-05-01 12:00:00,4.144666,3.1819308
