时间,真实值,预测值
2018-07-25 23:30:00,-3.8012333,-3.4508514
2018-07-26 00:00:00,2.795705,1.9191492
2018-07-26 00:30:00,-12.836055,-18.541573
2018-07-26 01:00:00,5.0655212,5.879897
2018-07-26 01:30:00,-0.81372166,0.522869
2018-07-26 02:00:00,1.56958,2.3833003
2018-07-26 02:30:00,1.7429249,2.9769497
2018-07-26 03:00:00,-3.0402641,-2.6276803
2018-07-26 03:30:00,3.7288785,5.657764
2018-07-26 04:00:00,1.1520718,3.8895392
2018-07-26 04:30:00,7.917518,11.072556
2018-07-26 05:00:00,0.7898096,0.8976843
2018-07-26 05:30:00,2.8900478,1.7543464
2018-07-26 06:00:00,-19.542082,-20.8751
2018-07-26 06:30:00,2.6062284,1.9704715
2018-07-26 07:00:00,-11.038643,-19.766977
2018-07-26 07:30:00,1.8825166,3.9063046
2018-07-26 08:00:00,-1.0891432,-0.80287695
2018-07-26 08:30:00,-24.815437,-23.027956
2018-07-26 09:00:00,2.449736,3.6148257
2018-07-26 09:30:00,-9.117308,-10.423151
2018-07-26 10:00:00,6.5542307,9.286726
2018-07-26 10:30:00,23.766079,50.226707
2018-07-26 11:00:00,-22.16609,-37.441875
2018-07-26 11:30:00,16.214962,18.40765
2018-07-26 12:00:00,1.1175584,2.5295246
2018-07-26 12:30:00,0.2471897,-1.6743598
2018-07-26 13:00:00,-0.62402666,-3.0159445
2018-07-26 13:30:00,-7.3413796,-7.622918
2018-07-26 14:00:00,4.0407624,8.385951
2018-07-26 14:30:00,-4.99468,-4.2753463
2018-07-26 15:00:00,-5.7638636,-6.716507
2018-07-26 15:30:00,-13.263339,-16.717133
2018-07-26 16:00:00,0.2139827,-0.8888001
2018-07-26 16:30:00,1.5218711,0.56310624
2018-07-26 17:00:00,1.865166,1.0655107
2018-07-26 17:30:00,11.0862665,15.971313
2018-07-26 18:00:00,0.24654303,-0.80723315
2018-07-26 18:30:00,14.480206,12.244483
2018-07-26 19:00:00,-3.2062511,-2.2818208
2018-07-26 19:30:00,0.0037561452,0.15411396
2018-07-26 20:00:00,0.3790914,0.84177417
2018-07-26 20:30:00,0.540342,1.7264743
2018-07-26 21:00:00,-23.77513,-31.78197
2018-07-26 21:30:00,4.009906,1.5440936
2018-07-26 22:00:00,-2.8280234,-2.1032064
2018-07-26 22:30:00,-16.211952,-24.092024
2018-07-26 23:00:00,0.8415645,0.82463324
2018-07-26 23:30:00,0.0054383418,-0.98947847
2018-07-27 00:00:00,2.650031,2.7499318
2018-07-27 00:30:00,0.09067547,-0.8633618
2018-07-27 01:00:00,0.55717707,-0.8966474
2018-07-27 01:30:00,-4.0049715,-3.1226306
2018-07-27 02:00:00,0.379974,1.7966285
2018-07-27 02:30:00,36.191772,44.172405
2018-07-27 03:00:00,2.3113983,2.8760703
2018-07-27 03:30:00,1.0063936,0.89475685
2018-07-27 04:00:00,1.4753158,0.91120744
2018-07-27 04:30:00,3.698044,8.065687
2018-07-27 05:00:00,5.696996,6.500667
2018-07-27 05:30:00,-15.442125,-14.221392
2018-07-27 06:00:00,0.4561797,0.38882193
2018-07-27 06:30:00,4.9531507,4.7803082
2018-07-27 07:00:00,-10.439973,-11.133169
2018-07-27 07:30:00,-18.936749,-22.456356
2018-07-27 08:00:00,-3.158136,-5.8204904
2018-07-27 08:30:00,0.29735848,2.1157608
2018-07-27 09:00:00,3.2283223,5.817922
2018-07-27 09:30:00,3.2886586,2.00495
2018-07-27 10:00:00,-18.133827,-21.771915
2018-07-27 10:30:00,2.587095,3.9770355
2018-07-27 11:00:00,-2.868916,-2.8113325
2018-07-27 11:30:00,24.904608,41.25768
2018-07-27 12:00:00,-2.8026855,-1.9041305
2018-07-27 12:30:00,-11.998116,-14.872077
2018-07-27 13:00:00,-0.27314657,-0.021953067
2018-07-27 13:30:00,2.836436,2.9892626
2018-07-27 14:00:00,0.5292919,0.2495972
2018-07-27 14:30:00,-24.867008,-25.59585
2018-07-27 15:00:00,1.0747213,0.9484954
2018-07-27 15:30:00,2.3299243,2.1479762
2018-07-27 16:00:00,2.3638785,2.0600474
2018-07-27 16:30:00,-0.69859385,-1.2008847
2018-07-27 17:00:00,5.252105,5.569027
2018-07-27 17:30:00,-2.174134,-1.6063291
2018-07-27 18:00:00,-2.4299326,-6.3515706
2018-07-27 18:30:00,-15.588437,-15.860234
2018-07-27 19:00:00,1.5983214,4.375882
2018-07-27 19:30:00,-6.1974335,-9.289559
2018-07-27 20:00:00,18.043129,25.316462
2018-07-27 20:30:00,3.7614214,6.4469504
2018-07-27 21:00:00,7.5038114,9.429224
2018-07-27 21:30:00,-9.738483,-10.635007
2018-07-27 22:00:00,-24.440655,-26.16917
2018-07-27 22:30:00,-25.169825,-30.180197
2018-07-27 23:00:00,-1.505039,-0.4455958
2018-07-27 23:30:00,0.05378075,-0.6829035
2018-07-28 00:00:00,-4.384335,-8.11779
2018-07-28 00:30:00,2.437537,3.7701733
2018-07-28 01:00:00,5.308623,5.8351507
2018-07-28 01:30:00,17.051432,21.650024
2018-07-28 02:00:00,-5.025226,-3.3905456
2018-07-28 02:30:00,28.70183,38.409706
2018-07-28 03:00:00,4.518978,4.888148
2018-07-28 03:30:00,-0.0421438,-11.82006
2018-07-28 04:00:00,-16.924047,-23.52892
2018-07-28 04:30:00,15.492058,13.422336
2018-07-28 05:00:00,1.0458487,1.5973952
2018-07-28 05:30:00,1.7316345,0.9941943
2018-07-28 06:00:00,0.2591879,2.0735223
2018-07-28 06:30:00,-6.5955634,-6.3827066
2018-07-28 07:00:00,2.148308,5.7456927
2018-07-28 07:30:00,0.9530526,3.471201
2018-07-28 08:00:00,1.095065,3.2003934
2018-07-28 08:30:00,5.3652363,3.5177782
2018-07-28 09:00:00,0.51395553,-1.0697913
2018-07-28 09:30:00,21.822815,19.666208
2018-07-28 10:00:00,0.44485873,-5.730639
2018-07-28 10:30:00,1.7466432,2.8942032
2018-07-28 11:00:00,16.819277,23.535282
2018-07-28 11:30:00,5.4597454,6.6212606
2018-07-28 12:00:00,0.041384924,0.2255134
2018-07-28 12:30:00,-2.0898056,-9.445126
2018-07-28 13:00:00,7.978274,15.730628
2018-07-28 13:30:00,3.5033026,3.4492931
2018-07-28 14:00:00,-12.399636,-12.351119
2018-07-28 14:30:00,-29.148098,-40.541206
2018-07-28 15:00:00,-6.5818524,-6.725438
2018-07-28 15:30:00,-1.3388991,-1.0061519
2018-07-28 16:00:00,0.9129333,0.9571904
2018-07-28 16:30:00,-0.9400044,-1.5692028
2018-07-28 17:00:00,6.1164837,9.538326
2018-07-28 17:30:00,2.534794,0.8812687
2018-07-28 18:00:00,6.040322,8.398391
2018-07-28 18:30:00,1.8270959,2.6821764
2018-07-28 19:00:00,2.8350246,2.325909
2018-07-28 19:30:00,1.6577752,1.0664852
2018-07-28 20:00:00,6.038443,7.731218
2018-07-28 20:30:00,-0.22815545,-0.36021885
2018-07-28 21:00:00,2.8490503,5.2505326
2018-07-28 21:30:00,-2.0184455,-1.398899
2018-07-28 22:00:00,-12.25858,-13.736344
2018-07-28 22:30:00,-1.870788,-0.4624003
2018-07-28 23:00:00,1.2397033,1.1591457
2018-07-28 23:30:00,1.9450725,2.6464658
2018-07-29 00:00:00,-0.2549133,-0.54767674
2018-07-29 00:30:00,-16.670225,-15.624805
2018-07-29 01:00:00,-14.76536,-13.791713
2018-07-29 01:30:00,-0.60375726,-1.4028838
2018-07-29 02:00:00,3.1961377,7.3329744
2018-07-29 02:30:00,-9.653203,-12.3517
2018-07-29 03:00:00,-3.6699607,-3.6269534
2018-07-29 03:30:00,15.355682,25.994068
2018-07-29 04:00:00,1.0448176,0.24116437
2018-07-29 04:30:00,3.010633,2.633742
2018-07-29 05:00:00,2.3557515,5.5797844
2018-07-29 05:30:00,0.47058105,-0.93012965
2018-07-29 06:00:00,-19.545345,-25.864164
2018-07-29 06:30:00,0.67962354,0.21432787
2018-07-29 07:00:00,26.847881,58.962105
2018-07-29 07:30:00,-0.26472685,-2.5710099
2018-07-29 08:00:00,-10.235133,-16.032963
2018-07-29 08:30:00,-6.1523504,-7.66143
2018-07-29 09:00:00,0.82041687,-6.3776164
2018-07-29 09:30:00,-1.772552,-1.72251
2018-07-29 10:00:00,1.029468,5.3895473
2018-07-29 10:30:00,6.9149857,8.169424
2018-07-29 11:00:00,-4.852799,-3.0845082
2018-07-29 11:30:00,-2.508122,-0.67185783
2018-07-29 12:00:00,4.00042,5.746466
2018-07-29 12:30:00,14.972294,36.26053
2018-07-29 13:00:00,-8.561671,-10.19522
2018-07-29 13:30:00,-17.407282,-28.467716
2018-07-29 14:00:00,0.50937647,-0.082228154
2018-07-29 14:30:00,-2.3224905,-2.406469
2018-07-29 15:00:00,34.200138,61.19554
2018-07-29 15:30:00,2.357438,1.1986489
2018-07-29 16:00:00,8.915026,17.969772
2018-07-29 16:30:00,1.5451728,0.9005375
2018-07-29 17:00:00,5.00768,12.3388605
2018-07-29 17:30:00,7.0207543,1.8475488
2018-07-29 18:00:00,-5.3309536,-4.759819
2018-07-29 18:30:00,-4.6570873,-6.06253
2018-07-29 19:00:00,17.405672,33.290977
2018-07-29 19:30:00,-11.532728,-13.677442
2018-07-29 20:00:00,0.055336233,0.12331009
2018-07-29 20:30:00,-5.49476,-6.070526
2018-07-29 21:00:00,-2.4901857,-3.580459
2018-07-29 21:30:00,-30.25068,-41.5103
2018-07-29 22:00:00,1.7258669,1.920329
2018-07-29 22:30:00,-15.673851,-15.940147
2018-07-29 23:00:00,-1.0425922,-2.1983576
2018-07-29 23:30:00,-6.7677026,-8.375118
2018-07-30 00:00:00,1.1988719,-0.014533923
2018-07-30 00:30:00,-40.48611,-43.727043
2018-07-30 01:00:00,-3.8519351,-5.652144
2018-07-30 01:30:00,-31.322554,-40.10404
2018-07-30 02:00:00,1.3694903,1.6640757
2018-07-30 02:30:00,-20.785585,-20.10639
2018-07-30 03:00:00,13.5728855,13.849137
2018-07-30 03:30:00,0.4182713,0.5565828
2018-07-30 04:00:00,1.2463622,0.2770061
2018-07-30 04:30:00,15.033862,11.144728
2018-07-30 05:00:00,3.221008,5.1178703
2018-07-30 05:30:00,-1.6386929,-3.3650374
2018-07-30 06:00:00,0.91158754,0.80611163
2018-07-30 06:30:00,-3.6715207,-2.7749097
2018-07-30 07:00:00,-4.325161,-7.8893347
2018-07-30 07:30:00,1.2138892,1.2935729
2018-07-30 08:00:00,0.03762292,-0.33460575
2018-07-30 08:30:00,-0.7551069,-1.4211258
2018-07-30 09:00:00,8.932612,9.962366
2018-07-30 09:30:00,-10.3420515,-10.910769
2018-07-30 10:00:00,3.6976597,2.936922
2018-07-30 10:30:00,-17.50991,-20.584595
2018-07-30 11:00:00,-0.7456866,-6.076914
2018-07-30 11:30:00,-4.837812,-7.4088817
2018-07-30 12:00:00,-1.5620939,-0.8596566
2018-07-30 12:30:00,-23.251286,-33.465107
2018-07-30 13:00:00,1.7714436,3.581291
2018-07-30 13:30:00,3.3419952,3.0822945
2018-07-30 14:00:00,-1.5904728,-3.3538911
2018-07-30 14:30:00,5.167755,4.614164
2018-07-30 15:00:00,5.045977,5.9623246
2018-07-30 15:30:00,0.23988853,-1.1716582
2018-07-30 16:00:00,6.6476603,11.850464
2018-07-30 16:30:00,1.9888664,1.6857171
2018-07-30 17:00:00,-28.157429,-27.516285
2018-07-30 17:30:00,-0.888586,0.10990932
2018-07-30 18:00:00,-18.460758,-27.085411
2018-07-30 18:30:00,-0.14954661,-0.5461737
2018-07-30 19:00:00,-23.454506,-23.0515
2018-07-30 19:30:00,2.1683023,3.5614016
2018-07-30 20:00:00,-15.86245,-23.504778
2018-07-30 20:30:00,0.6354145,1.2970378
2018-07-30 21:00:00,-1.8695427,-8.02322
2018-07-30 21:30:00,1.1940699,1.68005
2018-07-30 22:00:00,-0.2445536,1.5099341
2018-07-30 22:30:00,-44.944344,-29.623188
2018-07-30 23:00:00,5.7433333,10.082043
2018-07-30 23:30:00,2.5467443,4.287075
2018-07-31 00:00:00,-21.767864,-23.367567
2018-07-31 00:30:00,-2.2075462,-5.1298194
2018-07-31 01:00:00,-5.814382,-6.5659437
2018-07-31 01:30:00,32.202198,27.979803
2018-07-31 02:00:00,4.9860387,7.971178
2018-07-31 02:30:00,2.7991,3.6051257
2018-07-31 03:00:00,0.19061546,0.41295817
2018-07-31 03:30:00,0.5102241,-0.34047377
2018-07-31 04:00:00,-11.526375,-10.891238
2018-07-31 04:30:00,-11.234879,-10.924851
2018-07-31 05:00:00,3.7396533,5.4303875
2018-07-31 05:30:00,32.3659,26.686165
2018-07-31 06:00:00,-8.126368,-7.72624
2018-07-31 06:30:00,-9.320359,-10.527556
2018-07-31 07:00:00,20.475708,27.028904
2018-07-31 07:30:00,-11.802884,-9.293418
2018-07-31 08:00:00,5.3004346,7.2990465
2018-07-31 08:30:00,-10.902852,-11.673032
2018-07-31 09:00:00,1.640455,0.59913146
2018-07-31 09:30:00,-2.6045446,-5.1149726
2018-07-31 10:00:00,17.560015,36.9388
2018-07-31 10:30:00,3.728149,9.253392
2018-07-31 11:00:00,-14.986907,-6.329523
2018-07-31 11:30:00,-4.0117917,-6.117256
2018-07-31 12:00:00,0.98471725,0.00904742
2018-07-31 12:30:00,-6.9897003,-11.137084
2018-07-31 13:00:00,12.452673,11.965134
2018-07-31 13:30:00,-1.4805444,-1.6459941
2018-07-31 14:00:00,-6.8986955,-11.91709
2018-07-31 14:30:00,0.94030726,1.6373091
2018-07-31 15:00:00,-10.886061,-14.885626
2018-07-31 15:30:00,-1.3203294,-2.3361053
2018-07-31 16:00:00,0.987435,0.60256577
2018-07-31 16:30:00,15.156414,35.752228
2018-07-31 17:00:00,-15.323473,-14.383472
2018-07-31 17:30:00,-1.3157197,-0.0933656
2018-07-31 18:00:00,-4.476939,8.886817
2018-07-31 18:30:00,4.0578465,11.741231
2018-07-31 19:00:00,0.57792705,1.7847788
2018-07-31 19:30:00,5.4360986,6.711846
2018-07-31 20:00:00,18.758118,25.491787
2018-07-31 20:30:00,0.38312867,-0.52804965
2018-07-31 21:00:00,1.9801759,1.3283005
2018-07-31 21:30:00,-4.0126047,-2.9535372
2018-07-31 22:00:00,-0.7773119,-0.86148727
2018-07-31 22:30:00,-14.494319,-10.706896
2018-07-31 23:00:00,-8.308359,-19.916649
2018-07-31 23:30:00,-0.03620586,0.3216826
2018-08-01 00:00:00,-5.7321773,-6.366483
2018-08-01 00:30:00,12.701992,22.761751
2018-08-01 01:00:00,3.6084945,6.263464
2018-08-01 01:30:00,-0.58950007,-0.7714133
2018-08-01 02:00:00,1.0746689,1.9869395
2018-08-01 02:30:00,-9.119257,-11.798362
2018-08-01 03:00:00,-1.4916252,-1.7078508
