时间,真实值,预测值
2017-04-28 19:00:00,4.333986,4.7556896
2017-04-28 19:30:00,4.952166,-0.12819247
2017-04-28 20:00:00,-28.077229,-1.8175657
2017-04-28 20:30:00,-11.797978,-4.901111
2017-04-28 21:00:00,2.5550349,5.4079356
2017-04-28 21:30:00,0.51726454,1.5103562
2017-04-28 22:00:00,-32.811985,-22.442368
2017-04-28 22:30:00,-17.911198,-19.94182
2017-04-28 23:00:00,-33.480602,-19.271214
2017-04-28 23:30:00,-12.219664,-11.78354
2017-04-29 00:00:00,0.044045202,-2.2398958
2017-04-29 00:30:00,-28.601542,-8.871064
2017-04-29 01:00:00,-20.656448,-23.117712
2017-04-29 01:30:00,8.127705,4.024588
2017-04-29 02:00:00,6.0725265,4.575704
2017-04-29 02:30:00,3.2567172,5.8787203
2017-04-29 03:00:00,0.51726454,3.6055427
2017-04-29 03:30:00,-21.12774,-21.00609
2017-04-29 04:00:00,4.763002,-4.1607666
2017-04-29 04:30:00,6.551154,5.4185095
2017-04-29 05:00:00,-11.11293,-16.527744
2017-04-29 05:30:00,-1.8808607,-0.5142272
2017-04-29 06:00:00,-21.68749,-11.483742
2017-04-29 06:30:00,-19.205608,-17.685356
2017-04-29 07:00:00,0.51726454,3.2207103
2017-04-29 07:30:00,3.569073,3.1116157
2017-04-29 08:00:00,0.51726454,3.649116
2017-04-29 08:30:00,13.422665,6.332984
2017-04-29 09:00:00,-29.959776,-20.207598
2017-04-29 09:30:00,6.03135,1.1835544
2017-04-29 10:00:00,-31.457947,-24.766008
2017-04-29 10:30:00,0.51726454,2.2117429
2017-04-29 11:00:00,-8.208499,-8.915146
2017-04-29 11:30:00,-33.1824,-11.016947
2017-04-29 12:00:00,4.1131306,4.8091507
2017-04-29 12:30:00,0.51726454,3.0617316
2017-04-29 13:00:00,-36.092567,-5.5600963
2017-04-29 13:30:00,-16.319025,-4.4335804
2017-04-29 14:00:00,3.5376472,5.185438
2017-04-29 14:30:00,-14.907886,-13.396939
2017-04-29 15:00:00,5.1396537,3.3338552
2017-04-29 15:30:00,-0.03627852,2.2066302
2017-04-29 16:00:00,6.8445616,5.614853
2017-04-29 16:30:00,6.493104,1.8249685
2017-04-29 17:00:00,0.51726454,2.9057527
2017-04-29 17:30:00,4.8692975,2.2229462
2017-04-29 18:00:00,2.1032438,2.957575
2017-04-29 18:30:00,6.286278,2.4947627
2017-04-29 19:00:00,4.954332,3.1152906
2017-04-29 19:30:00,1.8347951,0.7336103
2017-04-29 20:00:00,-6.2865405,1.2830914
2017-04-29 20:30:00,-21.918766,-14.211498
2017-04-29 21:00:00,1.0673184,0.19584447
2017-04-29 21:30:00,0.51726454,1.4925878
2017-04-29 22:00:00,-5.2782483,0.033987198
2017-04-29 22:30:00,-3.1861866,2.0315633
2017-04-29 23:00:00,35.08367,-24.246992
2017-04-29 23:30:00,8.104467,2.2550201
2017-04-30 00:00:00,8.274509,5.363524
2017-04-30 00:30:00,2.4463158,4.5371785
2017-04-30 01:00:00,-9.394987,-9.820659
2017-04-30 01:30:00,5.5640774,5.4418645
2017-04-30 02:00:00,0.51726454,1.5422482
2017-04-30 02:30:00,-16.090721,-4.1004753
2017-04-30 03:00:00,0.50721407,2.289442
2017-04-30 03:30:00,0.51726454,0.7065196
2017-04-30 04:00:00,-8.951768,-17.020784
2017-04-30 04:30:00,9.7646,6.4222846
2017-04-30 05:00:00,-17.994143,-14.628624
2017-04-30 05:30:00,10.78895,-0.13549703
2017-04-30 06:00:00,1.8054441,2.5590096
2017-04-30 06:30:00,-18.577559,3.804579
2017-04-30 07:00:00,-14.815449,-21.98085
2017-04-30 07:30:00,1.7627165,2.5592673
2017-04-30 08:00:00,1.1201608,1.6663349
2017-04-30 08:30:00,-15.864621,-17.13811
2017-04-30 09:00:00,-2.9164445,-6.3431034
2017-04-30 09:30:00,5.9284525,2.935646
2017-04-30 10:00:00,7.731274,6.1726093
2017-04-30 10:30:00,-20.099733,-11.499105
2017-04-30 11:00:00,-12.821809,-14.509934
2017-04-30 11:30:00,11.129743,4.2567034
2017-04-30 12:00:00,0.51726454,3.7676654
2017-04-30 12:30:00,-13.962596,-18.153399
2017-04-30 13:00:00,6.8847747,3.172616
2017-04-30 13:30:00,0.51726454,2.9629416
2017-04-30 14:00:00,7.8283463,-5.070155
2017-04-30 14:30:00,-18.804985,2.1918695
2017-04-30 15:00:00,-5.959045,1.7360734
2017-04-30 15:30:00,-7.6124525,-17.049171
2017-04-30 16:00:00,3.1727753,3.8341954
2017-04-30 16:30:00,-20.134228,-13.152665
2017-04-30 17:00:00,-6.0926166,-5.1556067
2017-04-30 17:30:00,0.51726454,3.7203982
2017-04-30 18:00:00,0.51726454,-1.1681796
2017-04-30 18:30:00,-1.7866939,-2.232614
2017-04-30 19:00:00,-14.422484,-18.588348
2017-04-30 19:30:00,0.51726454,2.460227
2017-04-30 20:00:00,4.375894,4.8187876
2017-04-30 20:30:00,2.5409224,3.7412424
2017-04-30 21:00:00,4.111568,5.621183
2017-04-30 21:30:00,0.51726454,4.0607543
2017-04-30 22:00:00,0.51726454,3.4134316
2017-04-30 22:30:00,-29.507439,-1.7656298
2017-04-30 23:00:00,0.51726454,3.7196016
2017-04-30 23:30:00,-12.883723,-4.604043
2017-05-01 00:00:00,-9.826295,-19.004934
2017-05-01 00:30:00,9.181828,3.6458392
2017-05-01 01:00:00,0.51726454,1.1616749
2017-05-01 01:30:00,-13.228581,-8.19763
2017-05-01 02:00:00,0.51726454,1.5330207
2017-05-01 02:30:00,0.33125967,1.8151267
2017-05-01 03:00:00,-9.490288,-11.914992
2017-05-01 03:30:00,-27.52968,3.0747895
2017-05-01 04:00:00,0.8357794,-1.8648255
2017-05-01 04:30:00,9.273969,6.67997
2017-05-01 05:00:00,0.33070976,-4.3216834
2017-05-01 05:30:00,0.51726454,3.3465567
2017-05-01 06:00:00,0.51726454,1.1385702
2017-05-01 06:30:00,6.6462917,4.4278793
2017-05-01 07:00:00,-3.1793523,1.4402876
2017-05-01 07:30:00,5.13632,3.7149823
2017-05-01 08:00:00,-43.339855,-25.845047
2017-05-01 08:30:00,-3.9429376,-6.5467024
2017-05-01 09:00:00,-21.70867,-11.415809
2017-05-01 09:30:00,-12.569688,0.45642343
2017-05-01 10:00:00,-4.808935,-2.3717496
2017-05-01 10:30:00,-12.501565,-13.058635
2017-05-01 11:00:00,1.8217106,0.46601874
2017-05-01 11:30:00,4.40149,3.2817562
2017-05-01 12:00:00,4.059533,4.329241
2017-05-01 12:30:00,-8.681499,2.420746
2017-05-01 13:00:00,0.51726454,2.2693677
2017-05-01 13:30:00,0.51726454,-1.9527117
2017-05-01 14:00:00,6.057379,3.3768482
2017-05-01 14:30:00,-1.0008571,-2.4960108
2017-05-01 15:00:00,-22.691986,-15.279831
2017-05-01 15:30:00,-8.564421,4.4382405
2017-05-01 16:00:00,3.5800374,3.3354216
2017-05-01 16:30:00,8.992807,6.41074
2017-05-01 17:00:00,0.51726454,3.072711
2017-05-01 17:30:00,2.24654,4.3347325
2017-05-01 18:00:00,-19.127913,-13.352111
2017-05-01 18:30:00,1.9482169,4.7850447
2017-05-01 19:00:00,0.51726454,-0.75460297
2017-05-01 19:30:00,2.7287173,3.728848
2017-05-01 20:00:00,-26.64738,-13.45351
2017-05-01 20:30:00,1.9087548,3.5120168
2017-05-01 21:00:00,-18.285048,2.7299576
2017-05-01 21:30:00,-15.461626,-16.07579
2017-05-01 22:00:00,0.51726454,1.6139437
2017-05-01 22:30:00,-2.266774,1.3812063
2017-05-01 23:00:00,5.164029,1.006155
2017-05-01 23:30:00,4.1217017,3.3405302
2017-05-02 00:00:00,51.431274,5.959988
2017-05-02 00:30:00,2.1084018,5.158685
2017-05-02 01:00:00,9.37676,5.275073
2017-05-02 01:30:00,14.551543,3.7733126
2017-05-02 02:00:00,0.51726454,3.5470757
2017-05-02 02:30:00,0.51726454,3.67073
2017-05-02 03:00:00,0.51726454,2.5967991
2017-05-02 03:30:00,-21.576216,-21.667881
2017-05-02 04:00:00,9.955911,0.41114345
2017-05-02 04:30:00,-30.767855,-22.121506
2017-05-02 05:00:00,4.5578747,1.6697028
2017-05-02 05:30:00,0.72515273,3.1993995
2017-05-02 06:00:00,11.413927,3.2837927
2017-05-02 06:30:00,5.993993,-0.44667324
2017-05-02 07:00:00,6.1696324,3.199426
2017-05-02 07:30:00,-10.490518,-15.527538
2017-05-02 08:00:00,-1.986409,2.3224642
2017-05-02 08:30:00,-28.842274,-10.808896
2017-05-02 09:00:00,6.3305984,4.1045513
2017-05-02 09:30:00,0.51726454,0.45989367
2017-05-02 10:00:00,3.8409426,2.8883142
2017-05-02 10:30:00,-8.94342,1.0943711
2017-05-02 11:00:00,2.4942734,2.861842
2017-05-02 11:30:00,10.039238,4.116468
2017-05-02 12:00:00,2.5103805,2.9003975
2017-05-02 12:30:00,1.9119103,2.8398523
2017-05-02 13:00:00,0.51726454,1.9258633
2017-05-02 13:30:00,1.5232168,3.1704845
2017-05-02 14:00:00,4.378837,2.982174
2017-05-02 14:30:00,-4.9033675,0.32830903
2017-05-02 15:00:00,26.546747,-22.217783
2017-05-02 15:30:00,3.376196,3.1017094
2017-05-02 16:00:00,9.604355,2.6638372
2017-05-02 16:30:00,0.51726454,3.6627429
2017-05-02 17:00:00,4.82957,4.6122913
2017-05-02 17:30:00,6.4172025,5.0733285
2017-05-02 18:00:00,0.51726454,3.872497
2017-05-02 18:30:00,0.69553244,4.136819
2017-05-02 19:00:00,-7.9453835,1.739282
2017-05-02 19:30:00,-0.34575182,-10.031903
2017-05-02 20:00:00,-36.432167,-19.052437
2017-05-02 20:30:00,-17.791716,-14.972182
2017-05-02 21:00:00,5.2482743,4.168878
2017-05-02 21:30:00,-36.3123,-18.37054
2017-05-02 22:00:00,0.51726454,1.6937668
