时间,真实值,预测值
2018-07-25 23:30:00,-30.473797,2.4542453
2018-07-26 00:00:00,1.912984,1.0327756
2018-07-26 00:30:00,0.55717707,-0.36676848
2018-07-26 01:00:00,0.9977029,-0.17959894
2018-07-26 01:30:00,2.0005589,0.8156106
2018-07-26 02:00:00,8.21978,-0.65508395
2018-07-26 02:30:00,1.5860698,0.84185284
2018-07-26 03:00:00,22.664507,1.5279095
2018-07-26 03:30:00,0.88385093,0.32933334
2018-07-26 04:00:00,0.41118422,0.33578247
2018-07-26 04:30:00,-2.930183,-0.42517787
2018-07-26 05:00:00,31.954447,-1.566271
2018-07-26 05:30:00,-1.5566192,3.3734019
2018-07-26 06:00:00,-8.065773,-5.633552
2018-07-26 06:30:00,1.5137922,2.446682
2018-07-26 07:00:00,5.134697,-0.73076093
2018-07-26 07:30:00,-5.512159,3.6506236
2018-07-26 08:00:00,12.74472,1.8875108
2018-07-26 08:30:00,-1.1983724,1.7313637
2018-07-26 09:00:00,-1.7719578,-2.808781
2018-07-26 09:30:00,0.81776905,-0.092168406
2018-07-26 10:00:00,43.042984,4.396055
2018-07-26 10:30:00,-29.7409,0.60933393
2018-07-26 11:00:00,-14.20537,-20.748936
2018-07-26 11:30:00,21.976156,5.66472
2018-07-26 12:00:00,4.393316,-1.8993285
2018-07-26 12:30:00,1.5324973,0.93913186
2018-07-26 13:00:00,1.8277862,0.58123904
2018-07-26 13:30:00,0.62996596,0.4337038
2018-07-26 14:00:00,-27.80683,-26.448126
2018-07-26 14:30:00,3.2604852,3.8470824
2018-07-26 15:00:00,13.800602,1.5848159
2018-07-26 15:30:00,-7.6667166,-1.689836
2018-07-26 16:00:00,-25.337866,6.497062
2018-07-26 16:30:00,-7.3087497,-20.55552
2018-07-26 17:00:00,0.7823555,-0.23488423
2018-07-26 17:30:00,0.4291466,0.3829102
2018-07-26 18:00:00,20.563461,1.6241094
2018-07-26 18:30:00,-2.0898056,-0.040439755
2018-07-26 19:00:00,-8.56827,-5.6949897
2018-07-26 19:30:00,4.2985053,2.5889826
2018-07-26 20:00:00,0.5914589,1.0418377
2018-07-26 20:30:00,0.40252417,0.42887568
2018-07-26 21:00:00,-5.609482,0.6114705
2018-07-26 21:30:00,2.7503338,-8.062715
2018-07-26 22:00:00,4.0731173,-2.3125765
2018-07-26 22:30:00,28.583796,1.1146615
2018-07-26 23:00:00,4.122727,5.9116273
2018-07-26 23:30:00,-11.204454,1.5911733
2018-07-27 00:00:00,-8.123807,-3.7116442
2018-07-27 00:30:00,3.5558746,0.9598906
2018-07-27 01:00:00,-37.100937,-12.278382
2018-07-27 01:30:00,0.4392092,-1.9107063
2018-07-27 02:00:00,0.540342,0.32030627
2018-07-27 02:30:00,-4.785769,-11.909449
2018-07-27 03:00:00,-45.95699,-25.105135
2018-07-27 03:30:00,3.2178228,1.3693461
2018-07-27 04:00:00,-0.5554629,1.2954342
2018-07-27 04:30:00,45.92723,-16.854424
2018-07-27 05:00:00,-7.561542,2.8527992
2018-07-27 05:30:00,-3.8249152,1.3587854
2018-07-27 06:00:00,-8.471476,-12.914052
2018-07-27 06:30:00,-14.167013,-18.261614
2018-07-27 07:00:00,8.913619,0.49194276
2018-07-27 07:30:00,4.3381834,0.64239675
2018-07-27 08:00:00,2.4553158,0.65121406
2018-07-27 08:30:00,3.6542108,0.54025024
2018-07-27 09:00:00,-0.48755458,1.5931394
2018-07-27 09:30:00,-1.3389821,-0.06762143
2018-07-27 10:00:00,-2.8690252,-2.5250401
2018-07-27 10:30:00,0.6185139,0.74936694
2018-07-27 11:00:00,1.4352969,0.8315106
2018-07-27 11:30:00,5.228773,-0.8135294
2018-07-27 12:00:00,-15.14432,-0.23078579
2018-07-27 12:30:00,-13.837823,-4.0967493
2018-07-27 13:00:00,-3.2731328,-1.4000875
2018-07-27 13:30:00,-26.098606,-21.203964
2018-07-27 14:00:00,60.08334,-1.0670954
2018-07-27 14:30:00,-0.50736517,-2.611055
2018-07-27 15:00:00,1.2359544,0.5466732
2018-07-27 15:30:00,3.2307472,3.3074162
2018-07-27 16:00:00,1.207829,0.35073435
2018-07-27 16:30:00,-5.745482,-1.4284619
2018-07-27 17:00:00,9.34878,0.8504954
2018-07-27 17:30:00,-0.24903217,0.23357046
2018-07-27 18:00:00,-11.44712,-0.37141746
2018-07-27 18:30:00,6.144596,4.7750998
2018-07-27 19:00:00,0.5878717,0.30912074
2018-07-27 19:30:00,-0.29197407,1.1373951
2018-07-27 20:00:00,-19.478647,-15.170347
2018-07-27 20:30:00,-10.259698,0.28328922
2018-07-27 21:00:00,-24.810286,-6.2915053
2018-07-27 21:30:00,3.938192,2.5320675
2018-07-27 22:00:00,4.052293,0.6558805
2018-07-27 22:30:00,-4.282595,-5.875863
2018-07-27 23:00:00,-9.749678,0.7720876
2018-07-27 23:30:00,1.469024,0.8154227
2018-07-28 00:00:00,-28.157429,0.7778289
2018-07-28 00:30:00,-0.631306,0.5292308
2018-07-28 01:00:00,4.3591914,1.6963564
2018-07-28 01:30:00,2.9034138,3.2325475
2018-07-28 02:00:00,0.1493208,0.26702213
2018-07-28 02:30:00,13.311917,1.198413
2018-07-28 03:00:00,-7.4319606,-4.9803576
2018-07-28 03:30:00,-11.174241,-13.862892
2018-07-28 04:00:00,7.60937,0.65349483
2018-07-28 04:30:00,-2.0692391,0.00052283163
2018-07-28 05:00:00,3.3362932,1.854697
2018-07-28 05:30:00,-8.331058,0.6644794
2018-07-28 06:00:00,0.72047687,0.43725172
2018-07-28 06:30:00,1.1874373,-0.545728
2018-07-28 07:00:00,-13.266915,-0.026689434
2018-07-28 07:30:00,-0.6218463,-1.2164527
2018-07-28 08:00:00,-25.617043,2.7218938
