时间,真实值,预测值
2017-04-28 19:00:00,-0.83433884,5.124764
2017-04-28 19:30:00,-7.2645373,-7.3774624
2017-04-28 20:00:00,-9.902098,-0.5068999
2017-04-28 20:30:00,0.51726454,1.1306208
2017-04-28 21:00:00,4.980774,6.965178
2017-04-28 21:30:00,7.6695914,3.9989653
2017-04-28 22:00:00,9.260972,3.1717741
2017-04-28 22:30:00,1.7159725,4.9089985
2017-04-28 23:00:00,0.3555172,3.6464763
2017-04-28 23:30:00,0.51726454,2.9395525
2017-04-29 00:00:00,-10.069769,-3.1795912
2017-04-29 00:30:00,2.8586068,3.4519117
2017-04-29 01:00:00,2.8952246,3.9624124
2017-04-29 01:30:00,-18.146605,-20.97293
2017-04-29 02:00:00,-40.181126,-17.812155
2017-04-29 02:30:00,3.3939831,-0.36997145
2017-04-29 03:00:00,-0.9774796,-2.9193232
2017-04-29 03:30:00,0.51726454,1.1306208
2017-04-29 04:00:00,-30.891207,-32.22178
2017-04-29 04:30:00,5.532553,2.4585774
2017-04-29 05:00:00,-21.377966,-2.2151868
2017-04-29 05:30:00,0.51726454,1.1306208
2017-04-29 06:00:00,-15.316145,-9.719169
2017-04-29 06:30:00,3.73269,3.5305552
2017-04-29 07:00:00,3.9604287,1.2330518
2017-04-29 07:30:00,-35.12617,-9.466611
2017-04-29 08:00:00,0.51726454,1.1306208
2017-04-29 08:30:00,4.579853,7.6146894
2017-04-29 09:00:00,-1.3886896,-4.5632877
2017-04-29 09:30:00,7.691778,-4.6389427
2017-04-29 10:00:00,6.0538554,7.121286
2017-04-29 10:30:00,5.8216753,-7.4758162
2017-04-29 11:00:00,2.3585396,3.771443
2017-04-29 11:30:00,-0.9012974,-1.2265441
2017-04-29 12:00:00,-16.310387,-19.299086
2017-04-29 12:30:00,7.541473,5.2767076
2017-04-29 13:00:00,3.0785062,3.4368548
2017-04-29 13:30:00,0.9150374,3.7288632
2017-04-29 14:00:00,-15.247249,-14.7495365
2017-04-29 14:30:00,9.71514,1.2302793
2017-04-29 15:00:00,1.4045233,5.278194
2017-04-29 15:30:00,0.51726454,1.1306208
2017-04-29 16:00:00,1.436002,-5.6299257
2017-04-29 16:30:00,5.839288,4.5828605
2017-04-29 17:00:00,14.9815645,1.1678113
2017-04-29 17:30:00,0.51726454,1.1306208
2017-04-29 18:00:00,-1.8657167,-1.8145051
2017-04-29 18:30:00,0.51726454,1.1306208
2017-04-29 19:00:00,0.51726454,1.1306208
2017-04-29 19:30:00,-7.2521014,-13.151326
2017-04-29 20:00:00,6.4438343,2.5026133
2017-04-29 20:30:00,0.51726454,2.450112
2017-04-29 21:00:00,5.4314613,9.951591
2017-04-29 21:30:00,1.2468455,3.3274608
2017-04-29 22:00:00,0.51726454,1.1306208
2017-04-29 22:30:00,1.468243,-1.0770962
2017-04-29 23:00:00,5.689442,7.033578
2017-04-29 23:30:00,0.51726454,1.1174036
2017-04-30 00:00:00,0.51726454,1.1306208
2017-04-30 00:30:00,-28.760706,-33.421
2017-04-30 01:00:00,6.0662003,6.3116355
2017-04-30 01:30:00,4.137957,2.9887047
2017-04-30 02:00:00,2.0921655,10.471854
2017-04-30 02:30:00,0.51726454,1.1306208
2017-04-30 03:00:00,5.417345,2.53369
2017-04-30 03:30:00,-14.05836,-13.002955
2017-04-30 04:00:00,8.161319,7.2939672
2017-04-30 04:30:00,0.51726454,1.1306208
2017-04-30 05:00:00,0.51726454,1.1306208
2017-04-30 05:30:00,0.6534041,1.0493453
2017-04-30 06:00:00,0.51726454,1.1306208
2017-04-30 06:30:00,3.0409594,3.9533062
2017-04-30 07:00:00,0.51726454,1.1306208
2017-04-30 07:30:00,5.8233023,9.607783
2017-04-30 08:00:00,0.51726454,1.1306208
2017-04-30 08:30:00,7.1220555,10.6103525
2017-04-30 09:00:00,10.3382435,8.649777
2017-04-30 09:30:00,0.51726454,1.1306208
2017-04-30 10:00:00,-25.998663,-20.7529
2017-04-30 10:30:00,-6.2302127,-3.948968
2017-04-30 11:00:00,4.701399,7.001151
2017-04-30 11:30:00,-22.479467,-12.116159
2017-04-30 12:00:00,3.643522,-1.1878557
2017-04-30 12:30:00,-6.802613,-12.794498
2017-04-30 13:00:00,3.2014172,4.3435316
2017-04-30 13:30:00,6.6678224,5.5940313
2017-04-30 14:00:00,3.4905734,3.3668509
2017-04-30 14:30:00,4.2464523,5.5919075
2017-04-30 15:00:00,3.6589048,6.8363395
2017-04-30 15:30:00,-24.57782,-22.48984
2017-04-30 16:00:00,0.51726454,1.1306208
2017-04-30 16:30:00,0.57195395,-0.40129462
2017-04-30 17:00:00,-20.805243,-12.323653
2017-04-30 17:30:00,6.6833186,4.996858
2017-04-30 18:00:00,-22.691986,-15.939142
2017-04-30 18:30:00,0.51726454,1.1306208
2017-04-30 19:00:00,5.3292956,7.172334
2017-04-30 19:30:00,-10.400867,-17.332222
2017-04-30 20:00:00,1.0268058,-2.7138433
2017-04-30 20:30:00,0.51726454,1.114654
2017-04-30 21:00:00,0.51726454,1.1306208
2017-04-30 21:30:00,6.0417,-1.1712555
2017-04-30 22:00:00,41.00475,5.8282557
2017-04-30 22:30:00,-9.008842,-8.160071
2017-04-30 23:00:00,2.3471277,7.6262984
2017-04-30 23:30:00,4.706299,4.3804946
2017-05-01 00:00:00,14.497324,9.744469
2017-05-01 00:30:00,0.21791747,2.320439
2017-05-01 01:00:00,-1.4477823,5.598374
2017-05-01 01:30:00,5.7186112,3.0255728
2017-05-01 02:00:00,0.51726454,1.1306208
2017-05-01 02:30:00,4.0656357,7.785611
2017-05-01 03:00:00,-4.342721,-2.9888077
2017-05-01 03:30:00,4.3187394,5.120084
2017-05-01 04:00:00,-14.761449,-16.646646
2017-05-01 04:30:00,0.8084157,4.2332616
2017-05-01 05:00:00,5.9585357,9.547256
2017-05-01 05:30:00,2.9082482,5.451702
2017-05-01 06:00:00,-29.095032,-8.564117
2017-05-01 06:30:00,0.51726454,1.1306208
2017-05-01 07:00:00,3.6253097,3.3129692
2017-05-01 07:30:00,-32.76062,1.3113768
2017-05-01 08:00:00,0.51726454,1.1306208
2017-05-01 08:30:00,1.201137,7.96036
2017-05-01 09:00:00,0.51726454,1.1126704
2017-05-01 09:30:00,7.7289987,5.643233
2017-05-01 10:00:00,19.847948,2.6826866
2017-05-01 10:30:00,-19.466724,-19.525127
2017-05-01 11:00:00,1.5049934,1.754206
2017-05-01 11:30:00,2.1187556,-0.40615296
2017-05-01 12:00:00,0.5922293,-12.089175
2017-05-01 12:30:00,-1.3068755,-2.5781171
2017-05-01 13:00:00,0.51726454,1.1306208
2017-05-01 13:30:00,-7.6219077,2.2458005
2017-05-01 14:00:00,-32.769398,-25.650255
2017-05-01 14:30:00,-0.16747254,2.7125762
2017-05-01 15:00:00,22.023588,4.341874
2017-05-01 15:30:00,-5.476211,1.1539378
2017-05-01 16:00:00,3.6815884,1.5526513
2017-05-01 16:30:00,-7.712373,-7.76421
2017-05-01 17:00:00,0.51726454,1.1306208
2017-05-01 17:30:00,-4.2567463,0.32579452
2017-05-01 18:00:00,32.149002,-31.225157
2017-05-01 18:30:00,-23.811146,-8.77986
2017-05-01 19:00:00,3.908561,3.2448843
2017-05-01 19:30:00,7.415638,9.690656
2017-05-01 20:00:00,3.4440913,8.086017
2017-05-01 20:30:00,7.92359,2.1017873
2017-05-01 21:00:00,0.51726454,1.1306208
2017-05-01 21:30:00,16.174963,2.8058403
2017-05-01 22:00:00,-5.380827,-22.778625
2017-05-01 22:30:00,1.1567103,2.5738006
2017-05-01 23:00:00,-8.1820345,-0.5617486
2017-05-01 23:30:00,0.51726454,1.1306208
2017-05-02 00:00:00,4.328877,0.15858966
2017-05-02 00:30:00,0.51726454,1.1306208
2017-05-02 01:00:00,0.51726454,1.4931301
2017-05-02 01:30:00,0.51726454,1.1306208
2017-05-02 02:00:00,-3.1508205,0.48336238
2017-05-02 02:30:00,3.8030696,7.274735
2017-05-02 03:00:00,-1.190886,2.458418
2017-05-02 03:30:00,0.51726454,2.227281
2017-05-02 04:00:00,-3.5475352,-1.0327947
2017-05-02 04:30:00,-8.166675,0.7834452
2017-05-02 05:00:00,4.44052,4.4635186
2017-05-02 05:30:00,-28.264936,-17.99831
2017-05-02 06:00:00,6.4233317,8.269841
2017-05-02 06:30:00,3.010315,9.310935
2017-05-02 07:00:00,0.51726454,2.699556
2017-05-02 07:30:00,4.11409,7.356257
2017-05-02 08:00:00,2.6532483,2.9573703
2017-05-02 08:30:00,-18.67238,-13.866746
2017-05-02 09:00:00,-22.808834,-15.962027
2017-05-02 09:30:00,0.51726454,1.1306208
2017-05-02 10:00:00,0.51726454,1.1306208
2017-05-02 10:30:00,0.51726454,1.1306208
2017-05-02 11:00:00,1.8497835,7.538018
2017-05-02 11:30:00,-14.677974,-12.961089
2017-05-02 12:00:00,4.8283296,-1.97037
2017-05-02 12:30:00,-11.950946,-17.148106
2017-05-02 13:00:00,-23.40834,3.2779446
2017-05-02 13:30:00,-16.211802,-10.757183
2017-05-02 14:00:00,-11.125199,1.1306208
2017-05-02 14:30:00,4.7990584,5.0742197
2017-05-02 15:00:00,-8.791833,-9.198473
2017-05-02 15:30:00,-5.1249776,-6.81514
2017-05-02 16:00:00,-16.70033,-16.769102
2017-05-02 16:30:00,1.636396,1.999641
2017-05-02 17:00:00,-17.843082,-10.665648
2017-05-02 17:30:00,6.4159436,-4.4261546
2017-05-02 18:00:00,12.572372,7.02809
2017-05-02 18:30:00,24.880804,-1.0003148
2017-05-02 19:00:00,1.1908249,6.4515977
2017-05-02 19:30:00,0.51726454,1.1306208
2017-05-02 20:00:00,5.905238,7.9435997
2017-05-02 20:30:00,1.6856241,6.6663923
2017-05-02 21:00:00,-25.69802,-25.841934
2017-05-02 21:30:00,-23.916357,-9.651459
2017-05-02 22:00:00,-0.6053068,-10.368502
2017-05-02 22:30:00,0.51726454,1.1306208
2017-05-02 23:00:00,-24.72897,-34.926075
2017-05-02 23:30:00,-16.707218,-16.850052
2017-05-03 00:00:00,6.8389335,2.8378043
2017-05-03 00:30:00,4.62899,2.2926354
2017-05-03 01:00:00,9.604355,12.718699
2017-05-03 01:30:00,7.168451,3.801416
2017-05-03 02:00:00,1.1260091,5.2862496
2017-05-03 02:30:00,-2.4157062,-6.2599735
2017-05-03 03:00:00,0.51726454,1.1306208
2017-05-03 03:30:00,2.0761948,3.3665094
2017-05-03 04:00:00,7.5326967,-2.0611577
2017-05-03 04:30:00,2.7715588,7.666929
2017-05-03 05:00:00,0.42843017,3.9585097
2017-05-03 05:30:00,2.492965,4.941873
2017-05-03 06:00:00,0.480992,-0.71876276
2017-05-03 06:30:00,3.5374045,0.30656978
2017-05-03 07:00:00,-5.7927766,-9.778981
2017-05-03 07:30:00,0.52564996,-1.645457
2017-05-03 08:00:00,3.8594277,7.016318
2017-05-03 08:30:00,5.4568753,3.3482215
2017-05-03 09:00:00,-8.489205,-14.495424
2017-05-03 09:30:00,1.4040757,1.20653
2017-05-03 10:00:00,-12.904109,-14.855335
2017-05-03 10:30:00,1.1307536,1.0358967
2017-05-03 11:00:00,3.7863972,5.3659816
2017-05-03 11:30:00,-19.00048,-15.882337
2017-05-03 12:00:00,0.51726454,1.1306208
2017-05-03 12:30:00,3.5508835,7.0807543
