时间,真实值,预测值
2018-07-25 23:30:00,2.836436,3.014255
2018-07-26 00:00:00,0.16209675,1.6877707
2018-07-26 00:30:00,-12.230953,-3.417854
2018-07-26 01:00:00,3.617941,3.936523
2018-07-26 01:30:00,2.0568097,-6.254143
2018-07-26 02:00:00,1.6960418,1.8273231
2018-07-26 02:30:00,-10.328344,-14.210405
2018-07-26 03:00:00,-3.708271,1.9103363
2018-07-26 03:30:00,-34.708157,-30.035778
2018-07-26 04:00:00,-9.349543,-2.4438095
2018-07-26 04:30:00,1.5949833,0.76707155
2018-07-26 05:00:00,3.3695045,-0.9949751
2018-07-26 05:30:00,0.6285634,-1.7995502
2018-07-26 06:00:00,-1.9301717,1.4559246
2018-07-26 06:30:00,1.1680155,-1.101268
2018-07-26 07:00:00,3.6647847,13.363564
2018-07-26 07:30:00,0.68067217,-0.04677093
2018-07-26 08:00:00,-19.545345,-16.213015
2018-07-26 08:30:00,15.05383,3.6319797
2018-07-26 09:00:00,0.23649792,2.5502791
2018-07-26 09:30:00,0.67405695,0.91788816
2018-07-26 10:00:00,0.37316656,2.6244924
2018-07-26 10:30:00,-13.314701,-17.789902
2018-07-26 11:00:00,0.37259856,4.3870807
2018-07-26 11:30:00,6.7680445,3.7270303
2018-07-26 12:00:00,-31.335903,24.065922
2018-07-26 12:30:00,-5.4886823,4.623999
2018-07-26 13:00:00,-13.645069,-4.265249
2018-07-26 13:30:00,4.6968975,6.1871448
2018-07-26 14:00:00,1.4237444,8.490077
2018-07-26 14:30:00,6.0507164,0.5487355
2018-07-26 15:00:00,0.61563015,-1.7865645
2018-07-26 15:30:00,-7.0685406,-7.205952
2018-07-26 16:00:00,10.227799,-3.4844036
2018-07-26 16:30:00,-7.6749573,1.8382858
2018-07-26 17:00:00,-0.74768776,0.69740677
2018-07-26 17:30:00,-8.153832,11.802218
2018-07-26 18:00:00,7.971466,1.504302
2018-07-26 18:30:00,3.9130857,1.6616901
2018-07-26 19:00:00,3.048314,-4.285103
2018-07-26 19:30:00,-5.512159,2.4864516
2018-07-26 20:00:00,-27.429016,-14.335429
2018-07-26 20:30:00,-7.50679,-4.568468
2018-07-26 21:00:00,2.7185686,8.973658
2018-07-26 21:30:00,-9.725756,2.7957268
2018-07-26 22:00:00,1.2586925,4.710971
2018-07-26 22:30:00,-19.341448,2.4301264
2018-07-26 23:00:00,-17.379286,-3.8592887
2018-07-26 23:30:00,1.6500458,0.04883902
2018-07-27 00:00:00,3.3170943,10.044213
2018-07-27 00:30:00,-1.4405519,0.5879241
2018-07-27 01:00:00,-7.0802283,-3.059887
2018-07-27 01:30:00,3.8898628,2.0355573
2018-07-27 02:00:00,-28.638193,-10.469177
2018-07-27 02:30:00,-14.208835,-4.780128
2018-07-27 03:00:00,-6.4475217,-3.6552536
2018-07-27 03:30:00,28.142605,4.7870064
2018-07-27 04:00:00,-5.2069693,8.472149
2018-07-27 04:30:00,4.8171153,-0.41643044
2018-07-27 05:00:00,-2.9759867,-1.7051462
2018-07-27 05:30:00,1.569344,8.051002
2018-07-27 06:00:00,4.2844186,3.4176285
2018-07-27 06:30:00,-1.93628,9.131964
2018-07-27 07:00:00,-1.3897452,-1.6788951
2018-07-27 07:30:00,21.724169,5.79653
2018-07-27 08:00:00,1.3755418,2.0520732
2018-07-27 08:30:00,2.3264508,2.9631994
2018-07-27 09:00:00,6.2872815,2.8573258
2018-07-27 09:30:00,-9.180125,-4.404386
2018-07-27 10:00:00,-5.1834927,8.595644
2018-07-27 10:30:00,0.5151571,3.4618287
