时间,真实值,预测值
2017-04-28 19:00:00,4.3338413,2.0908191
2017-04-28 19:30:00,4.2348657,3.1329947
2017-04-28 20:00:00,3.4601605,3.9199312
2017-04-28 20:30:00,4.6283717,4.6235743
2017-04-28 21:00:00,5.260972,5.31584
2017-04-28 21:30:00,5.41108,6.1669583
2017-04-28 22:00:00,6.2063675,7.046685
2017-04-28 22:30:00,5.4213233,7.83339
2017-04-28 23:00:00,5.8226314,8.123723
2017-04-28 23:30:00,4.27374,7.7779045
2017-04-29 00:00:00,3.9142385,6.9726043
2017-04-29 00:30:00,3.3414252,6.022206
2017-04-29 01:00:00,3.3263571,5.21017
2017-04-29 01:30:00,5.164029,4.557018
2017-04-29 02:00:00,5.2093353,4.1154933
2017-04-29 02:30:00,4.6597214,3.8443027
2017-04-29 03:00:00,3.4750693,3.6180964
2017-04-29 03:30:00,2.8753512,3.6495976
2017-04-29 04:00:00,9.096615,3.639676
2017-04-29 04:30:00,3.1379364,3.737863
2017-04-29 05:00:00,8.510129,4.064122
2017-04-29 05:30:00,5.641678,4.0491037
2017-04-29 06:00:00,4.8187914,3.652355
2017-04-29 06:30:00,3.7116978,2.6705692
2017-04-29 07:00:00,-2.561096,0.9006786
2017-04-29 07:30:00,-8.64196,-1.9263757
2017-04-29 08:00:00,-11.258005,-6.261028
2017-04-29 08:30:00,-7.4378676,-11.351372
2017-04-29 09:00:00,-19.83023,-16.50245
2017-04-29 09:30:00,-15.646421,-20.971357
2017-04-29 10:00:00,-14.272122,-23.384169
2017-04-29 10:30:00,-18.44848,-24.54233
2017-04-29 11:00:00,-26.475576,-25.656507
2017-04-29 11:30:00,-25.287987,-26.969328
2017-04-29 12:00:00,-24.100397,-28.014664
2017-04-29 12:30:00,-22.912807,-28.791168
2017-04-29 13:00:00,-21.725216,-27.968775
2017-04-29 13:30:00,-20.537624,-26.017427
2017-04-29 14:00:00,-19.350035,-24.099045
2017-04-29 14:30:00,-18.162443,-21.696815
2017-04-29 15:00:00,-16.974855,-18.769333
2017-04-29 15:30:00,-15.787264,-15.80003
