时间,真实值,预测值
2018-07-25 23:30:00,42.391376,11.417812
2018-07-26 00:00:00,7.7510285,10.1113825
2018-07-26 00:30:00,7.4822836,8.523616
2018-07-26 01:00:00,3.355278,7.570452
2018-07-26 01:30:00,4.7732563,7.871347
2018-07-26 02:00:00,4.843734,8.29371
2018-07-26 02:30:00,4.9142065,9.679662
2018-07-26 03:00:00,5.619554,12.1220455
2018-07-26 03:30:00,4.443017,14.139725
2018-07-26 04:00:00,-2.9978292,14.9621525
2018-07-26 04:30:00,10.351522,14.958618
2018-07-26 05:00:00,8.137016,13.660014
2018-07-26 05:30:00,17.288946,11.639762
2018-07-26 06:00:00,7.157698,11.582331
2018-07-26 06:30:00,13.257681,10.713767
2018-07-26 07:00:00,1.7393246,11.056445
2018-07-26 07:30:00,-9.779031,9.124313
2018-07-26 08:00:00,-7.134819,5.610977
2018-07-26 08:30:00,-8.1670065,0.18299532
2018-07-26 09:00:00,-9.319551,-5.0996757
2018-07-26 09:30:00,-12.254601,-10.192602
2018-07-26 10:00:00,-17.388987,-13.600301
2018-07-26 10:30:00,-24.315876,-15.805809
2018-07-26 11:00:00,-19.384172,-16.693123
2018-07-26 11:30:00,-31.685522,-18.111721
2018-07-26 12:00:00,-16.390364,-19.574251
2018-07-26 12:30:00,-15.588437,-21.128998
2018-07-26 13:00:00,-23.952736,-21.13186
2018-07-26 13:30:00,-18.220188,-19.588137
2018-07-26 14:00:00,-17.177326,-18.202118
2018-07-26 14:30:00,-24.131285,-16.023577
2018-07-26 15:00:00,-17.948454,-14.601549
2018-07-26 15:30:00,-22.859354,-13.461609
2018-07-26 16:00:00,-19.44365,-11.334849
2018-07-26 16:30:00,-12.525674,-8.749728
2018-07-26 17:00:00,-17.620943,-5.812774
2018-07-26 17:30:00,-4.0231433,-1.619376
2018-07-26 18:00:00,-1.9767619,4.02907
2018-07-26 18:30:00,2.1956367,9.755317
2018-07-26 19:00:00,6.368031,14.627619
2018-07-26 19:30:00,16.040987,19.15289
2018-07-26 20:00:00,25.713942,22.931845
2018-07-26 20:30:00,15.029607,25.221735
2018-07-26 21:00:00,17.568579,25.236416
2018-07-26 21:30:00,17.224018,23.19412
2018-07-26 22:00:00,16.879456,19.752642
2018-07-26 22:30:00,16.534893,15.529115
2018-07-26 23:00:00,16.190336,10.824032
2018-07-26 23:30:00,15.845774,6.7112694
2018-07-27 00:00:00,15.501212,4.76741
2018-07-27 00:30:00,15.15665,2.9643834
2018-07-27 01:00:00,14.812088,2.637041
2018-07-27 01:30:00,14.4675255,5.4783454
2018-07-27 02:00:00,14.122968,10.301826
2018-07-27 02:30:00,13.778406,15.2030525
2018-07-27 03:00:00,13.433845,18.825611
2018-07-27 03:30:00,13.089282,19.889893
2018-07-27 04:00:00,12.74472,18.026806
2018-07-27 04:30:00,12.400158,14.688011
2018-07-27 05:00:00,12.0556,11.394641
2018-07-27 05:30:00,11.711039,8.347828
2018-07-27 06:00:00,11.366477,5.0857077
2018-07-27 06:30:00,2.2563095,4.4559503
2018-07-27 07:00:00,0.56336844,3.7299578
2018-07-27 07:30:00,-1.1295683,2.8189542
2018-07-27 08:00:00,-2.8225093,1.2620744
2018-07-27 08:30:00,-4.5154505,-2.820482
2018-07-27 09:00:00,-6.2083874,-8.373803
2018-07-27 09:30:00,-7.9013286,-15.265239
2018-07-27 10:00:00,-9.594269,-21.408247
2018-07-27 10:30:00,-11.287206,-25.006039
2018-07-27 11:00:00,-12.980146,-24.809021
2018-07-27 11:30:00,-14.673086,-25.522892
2018-07-27 12:00:00,-16.366024,-25.456669
2018-07-27 12:30:00,-18.058964,-25.197075
2018-07-27 13:00:00,-24.650272,-25.335968
2018-07-27 13:30:00,-23.832281,-24.608091
2018-07-27 14:00:00,-14.167013,-24.190426
2018-07-27 14:30:00,-21.019697,-23.751486
2018-07-27 15:00:00,-22.745687,-23.057682
2018-07-27 15:30:00,-14.631099,-21.775127
2018-07-27 16:00:00,-13.521618,-19.916939
2018-07-27 16:30:00,-14.239326,-17.429117
2018-07-27 17:00:00,-11.147906,-14.254522
2018-07-27 17:30:00,-4.386371,-10.759577
2018-07-27 18:00:00,-3.8519351,-5.8509183
2018-07-27 18:30:00,-0.7601273,-1.1228045
2018-07-27 19:00:00,2.3316808,3.314879
2018-07-27 19:30:00,11.0862665,6.643977
2018-07-27 20:00:00,-27.292652,8.402524
2018-07-27 20:30:00,-24.57848,10.278703
2018-07-27 21:00:00,-21.864311,11.282402
2018-07-27 21:30:00,-19.15014,11.714914
2018-07-27 22:00:00,-16.435966,11.494297
2018-07-27 22:30:00,-13.721797,11.143045
2018-07-27 23:00:00,-11.007625,11.522724
2018-07-27 23:30:00,-8.293455,12.905831
2018-07-28 00:00:00,-5.579285,14.60076
2018-07-28 00:30:00,-2.8651147,16.00892
2018-07-28 01:00:00,-0.1509448,17.927893
2018-07-28 01:30:00,2.5632255,20.07724
2018-07-28 02:00:00,5.2773995,20.079285
2018-07-28 02:30:00,7.9915695,18.25323
2018-07-28 03:00:00,7.1563435,14.246747
2018-07-28 03:30:00,6.3211217,10.24408
2018-07-28 04:00:00,5.4859004,7.017036
2018-07-28 04:30:00,4.6506743,2.15259
2018-07-28 05:00:00,3.8154528,-0.9622793
2018-07-28 05:30:00,5.0560136,-0.602228
2018-07-28 06:00:00,7.026395,-0.31401742
2018-07-28 06:30:00,4.5030866,-0.849725
2018-07-28 07:00:00,-6.083057,-3.292196
2018-07-28 07:30:00,-4.4361296,-5.732199
2018-07-28 08:00:00,-4.6948647,-8.504818
2018-07-28 08:30:00,-2.858766,-10.891959
2018-07-28 09:00:00,-8.621086,-13.436638
2018-07-28 09:30:00,-13.9625,-15.347584
2018-07-28 10:00:00,-25.69164,-15.908982
2018-07-28 10:30:00,-18.475042,-14.845192
2018-07-28 11:00:00,-17.14543,-12.987762
2018-07-28 11:30:00,-24.660486,-10.125118
2018-07-28 12:00:00,-25.684952,-7.2759314
2018-07-28 12:30:00,-28.317654,-5.208227
2018-07-28 13:00:00,-27.179781,-4.712473
2018-07-28 13:30:00,-24.388834,-5.7794886
2018-07-28 14:00:00,-22.956675,-9.498712
2018-07-28 14:30:00,-19.48677,-12.566951
2018-07-28 15:00:00,-14.403572,-16.061827
2018-07-28 15:30:00,-14.702431,-16.467882
2018-07-28 16:00:00,-19.622494,-17.29996
2018-07-28 16:30:00,-19.665897,-17.083965
2018-07-28 17:00:00,-12.633283,-15.875181
2018-07-28 17:30:00,-11.377035,-12.442106
2018-07-28 18:00:00,-6.676593,-9.206962
2018-07-28 18:30:00,-3.5327897,-6.2824435
2018-07-28 19:00:00,0.9774467,-4.9860725
2018-07-28 19:30:00,2.4138944,-4.601675
2018-07-28 20:00:00,17.955074,-8.105556
2018-07-28 20:30:00,15.900399,-12.596073
2018-07-28 21:00:00,-22.039137,-15.564888
2018-07-28 21:30:00,17.837612,-15.396953
2018-07-28 22:00:00,20.475708,-11.74129
2018-07-28 22:30:00,6.0276814,-6.0993724
2018-07-28 23:00:00,12.873031,-0.41370398
2018-07-28 23:30:00,19.718378,1.8814855
2018-07-29 00:00:00,26.563726,5.408296
2018-07-29 00:30:00,15.260902,6.8390374
2018-07-29 01:00:00,3.9580812,7.015738
2018-07-29 01:30:00,2.3923185,5.978015
2018-07-29 02:00:00,3.9359984,4.3103333
2018-07-29 02:30:00,5.479678,1.9756973
2018-07-29 03:00:00,7.0233583,-0.3773554
2018-07-29 03:30:00,14.019747,-2.3301105
2018-07-29 04:00:00,9.38931,-3.618647
2018-07-29 04:30:00,-5.8243265,-4.407838
2018-07-29 05:00:00,4.330454,-4.439463
2018-07-29 05:30:00,14.485239,-4.5852466
2018-07-29 06:00:00,5.1508503,-5.105443
2018-07-29 06:30:00,-4.183542,-6.0419025
2018-07-29 07:00:00,-13.51793,-6.382829
2018-07-29 07:30:00,-6.413004,-6.8583317
2018-07-29 08:00:00,-5.727926,-8.004637
2018-07-29 08:30:00,-13.963234,-9.552467
2018-07-29 09:00:00,-14.274739,-10.678858
2018-07-29 09:30:00,-17.51702,-11.307282
2018-07-29 10:00:00,-18.040487,-11.162942
2018-07-29 10:30:00,-19.667141,-12.237625
2018-07-29 11:00:00,-22.21754,-14.097157
2018-07-29 11:30:00,-21.040516,-15.960537
2018-07-29 12:00:00,-26.42999,-18.488224
2018-07-29 12:30:00,-20.427803,-21.145435
2018-07-29 13:00:00,-18.281633,-22.963223
2018-07-29 13:30:00,-15.957052,-23.653591
2018-07-29 14:00:00,-14.039068,-23.94923
2018-07-29 14:30:00,-19.526794,-23.377615
2018-07-29 15:00:00,-21.105865,-21.256859
2018-07-29 15:30:00,-16.608442,-18.094864
2018-07-29 16:00:00,-18.312607,-15.518403
2018-07-29 16:30:00,-11.887125,-13.120092
2018-07-29 17:00:00,-7.2395434,-11.436808
2018-07-29 17:30:00,-5.302059,-9.692767
2018-07-29 18:00:00,-9.119257,-7.8507357
2018-07-29 18:30:00,-3.3777566,-5.2950635
2018-07-29 19:00:00,1.9233962,-2.0370896
2018-07-29 19:30:00,7.2245445,0.9002753
2018-07-29 20:00:00,8.540316,3.230236
2018-07-29 20:30:00,13.223622,5.552284
2018-07-29 21:00:00,17.906923,7.5144024
2018-07-29 21:30:00,22.590223,2.048224
2018-07-29 22:00:00,27.273525,0.7007537
2018-07-29 22:30:00,15.010198,0.5540486
2018-07-29 23:00:00,4.310023,0.4155055
2018-07-29 23:30:00,18.545725,1.5624754
2018-07-30 00:00:00,13.302598,3.1461961
2018-07-30 00:30:00,8.059469,4.400276
2018-07-30 01:00:00,17.261284,5.0491495
2018-07-30 01:30:00,5.078612,5.540307
2018-07-30 02:00:00,6.6328263,6.3340945
2018-07-30 02:30:00,6.3705044,7.690426
2018-07-30 03:00:00,6.1081862,9.172586
2018-07-30 03:30:00,5.8458643,9.98371
2018-07-30 04:00:00,11.182226,9.088563
2018-07-30 04:30:00,15.435213,8.837238
2018-07-30 05:00:00,5.798505,9.845963
2018-07-30 05:30:00,14.166801,10.976215
2018-07-30 06:00:00,22.535091,12.6871805
2018-07-30 06:30:00,30.903393,14.074115
2018-07-30 07:00:00,-10.068308,13.182943
2018-07-30 07:30:00,-8.541656,8.004429
2018-07-30 08:00:00,-6.605093,0.7337684
2018-07-30 08:30:00,-14.874156,-7.5411987
2018-07-30 09:00:00,-25.045712,-16.004488
2018-07-30 09:30:00,-23.805569,-22.719473
2018-07-30 10:00:00,-21.427992,-27.748943
2018-07-30 10:30:00,-22.410004,-30.622019
2018-07-30 11:00:00,-22.030146,-31.570862
2018-07-30 11:30:00,-23.283754,-30.658197
2018-07-30 12:00:00,-26.903828,-28.990284
2018-07-30 12:30:00,-21.077774,-26.751162
2018-07-30 13:00:00,-23.652575,-25.820494
2018-07-30 13:30:00,-20.546167,-26.747282
2018-07-30 14:00:00,-8.8564625,-26.482513
2018-07-30 14:30:00,-30.533598,-25.262938
2018-07-30 15:00:00,-23.422832,-22.79471
2018-07-30 15:30:00,-19.925797,-19.57676
2018-07-30 16:00:00,-21.415047,-16.523195
2018-07-30 16:30:00,-15.1754465,-13.277656
2018-07-30 17:00:00,36.191772,-8.753761
2018-07-30 17:30:00,-0.27224648,-3.483521
2018-07-30 18:00:00,-0.71048284,1.1577694
2018-07-30 18:30:00,-3.0232806,4.7099223
2018-07-30 19:00:00,1.5713015,7.0449996
2018-07-30 19:30:00,6.1658835,8.814343
2018-07-30 20:00:00,9.739595,10.270995
2018-07-30 20:30:00,6.2009344,11.3413
2018-07-30 21:00:00,6.7271867,11.651117
2018-07-30 21:30:00,11.883471,12.262471
2018-07-30 22:00:00,17.25459,14.3478365
2018-07-30 22:30:00,22.625708,16.81336
2018-07-30 23:00:00,5.6632648,18.69368
2018-07-30 23:30:00,27.127573,21.542639
2018-07-31 00:00:00,8.04228,22.436441
2018-07-31 00:30:00,5.302274,20.834557
2018-07-31 01:00:00,2.5622685,18.995321
2018-07-31 01:30:00,17.940868,16.064516
2018-07-31 02:00:00,6.450542,14.757532
2018-07-31 02:30:00,11.606559,14.855519
2018-07-31 03:00:00,16.762571,16.135178
2018-07-31 03:30:00,30.142332,16.893744
2018-07-31 04:00:00,25.945297,15.993016
2018-07-31 04:30:00,21.748264,13.267722
2018-07-31 05:00:00,17.551233,9.599274
2018-07-31 05:30:00,13.354199,6.7620015
2018-07-31 06:00:00,6.421062,4.332071
2018-07-31 06:30:00,6.8559074,1.8585072
2018-07-31 07:00:00,-6.534231,-6.2514997
2018-07-31 07:30:00,-6.212875,-10.192367
2018-07-31 08:00:00,-16.457838,-13.737773
2018-07-31 08:30:00,-18.107769,-17.483444
2018-07-31 09:00:00,-21.004599,-22.253407
2018-07-31 09:30:00,-23.221128,-25.770458
2018-07-31 10:00:00,-30.873781,-27.55629
2018-07-31 10:30:00,-28.654419,-28.302681
2018-07-31 11:00:00,-22.983656,-28.209051
2018-07-31 11:30:00,-25.59316,-27.778053
2018-07-31 12:00:00,-26.0685,-27.334362
2018-07-31 12:30:00,-25.63467,-27.088717
2018-07-31 13:00:00,-27.20523,-26.637428
2018-07-31 13:30:00,-26.098606,-26.434473
2018-07-31 14:00:00,-26.727377,-24.30059
2018-07-31 14:30:00,-21.440096,-22.723843
2018-07-31 15:00:00,-20.669367,-21.299135
2018-07-31 15:30:00,-20.650873,-19.931103
2018-07-31 16:00:00,-16.5043,-18.816965
2018-07-31 16:30:00,-18.329731,-16.14234
2018-07-31 17:00:00,-12.977027,-10.796869
2018-07-31 17:30:00,-9.91989,-1.9434545
2018-07-31 18:00:00,-2.2094252,2.654121
2018-07-31 18:30:00,-1.9211621,5.0056524
2018-07-31 19:00:00,0.15403968,7.328784
2018-07-31 19:30:00,2.2292414,9.664797
2018-07-31 20:00:00,5.588667,10.720063
2018-07-31 20:30:00,8.948093,10.943227
2018-07-31 21:00:00,9.080121,10.5718155
2018-07-31 21:30:00,9.755941,9.931869
2018-07-31 22:00:00,6.990431,9.2610655
2018-07-31 22:30:00,5.47374,7.8485174
2018-07-31 23:00:00,14.260598,5.8193507
2018-07-31 23:30:00,36.07665,4.346625
2018-08-01 00:00:00,13.5728855,4.831443
2018-08-01 00:30:00,17.98797,5.182423
2018-08-01 01:00:00,22.159546,5.920178
2018-08-01 01:30:00,26.33113,6.485396
2018-08-01 02:00:00,24.87183,8.228021
2018-08-01 02:30:00,22.024067,8.566059
2018-08-01 03:00:00,15.59901,8.35845
2018-08-01 03:30:00,9.173958,7.0467777
2018-08-01 04:00:00,19.954016,7.6910725
2018-08-01 04:30:00,30.73408,8.62256
