时间,真实值,预测值
2017-04-28 19:00:00,4.3338413,3.2201943
2017-04-28 19:30:00,4.2348657,3.213231
2017-04-28 20:00:00,3.4601605,3.2482748
2017-04-28 20:30:00,4.6283717,4.4038115
2017-04-28 21:00:00,5.260972,3.5300052
2017-04-28 21:30:00,5.41108,4.0351353
2017-04-28 22:00:00,6.2063675,3.9136963
2017-04-28 22:30:00,5.4213233,5.073803
2017-04-28 23:00:00,5.8226314,3.9293294
2017-04-28 23:30:00,4.27374,4.261615
2017-04-29 00:00:00,3.9142385,4.434395
2017-04-29 00:30:00,3.3414252,4.221216
2017-04-29 01:00:00,3.3263571,4.3765726
2017-04-29 01:30:00,5.164029,4.2766566
2017-04-29 02:00:00,5.2093353,4.112281
2017-04-29 02:30:00,4.6597214,3.7162225
2017-04-29 03:00:00,3.4750693,3.498591
2017-04-29 03:30:00,2.8753512,3.8823578
2017-04-29 04:00:00,9.096615,3.7972705
2017-04-29 04:30:00,3.1379364,3.9360952
2017-04-29 05:00:00,8.510129,3.856826
2017-04-29 05:30:00,5.641678,3.5838642
2017-04-29 06:00:00,4.8187914,3.0353045
2017-04-29 06:30:00,3.7116978,2.4608414
2017-04-29 07:00:00,-2.561096,0.1204284
2017-04-29 07:30:00,-8.64196,-10.320627
2017-04-29 08:00:00,-11.258005,-16.35363
2017-04-29 08:30:00,-7.4378676,-15.724204
2017-04-29 09:00:00,-19.83023,-18.738186
2017-04-29 09:30:00,-15.646421,-21.47715
2017-04-29 10:00:00,-14.272122,-22.349073
2017-04-29 10:30:00,-18.44848,-24.336025
2017-04-29 11:00:00,-26.475576,-24.944708
2017-04-29 11:30:00,-25.287987,-25.8134
2017-04-29 12:00:00,-24.100397,-25.484838
2017-04-29 12:30:00,-22.912807,-27.408512
2017-04-29 13:00:00,-21.725216,-25.498344
2017-04-29 13:30:00,-20.537624,-21.819103
2017-04-29 14:00:00,-19.350035,-20.274542
2017-04-29 14:30:00,-18.162443,-15.862915
2017-04-29 15:00:00,-16.974855,-14.921376
2017-04-29 15:30:00,-15.787264,-11.471996
2017-04-29 16:00:00,-14.599675,-10.568049
2017-04-29 16:30:00,-13.412084,-7.5570087
2017-04-29 17:00:00,-12.224492,-3.935451
2017-04-29 17:30:00,-11.036903,-0.8407483
2017-04-29 18:00:00,-9.849312,2.096732
2017-04-29 18:30:00,-8.661724,3.102904
2017-04-29 19:00:00,-7.4741325,3.1345193
2017-04-29 19:30:00,-6.2865405,3.4109855
2017-04-29 20:00:00,-5.0989523,3.2068293
2017-04-29 20:30:00,-3.9113605,3.1607792
2017-04-29 21:00:00,-2.7237723,3.1593344
2017-04-29 21:30:00,-1.5361805,3.4145317
2017-04-29 22:00:00,-0.3485887,3.3676095
2017-04-29 22:30:00,0.83899933,3.7270277
2017-04-29 23:00:00,2.0265913,4.291933
2017-04-29 23:30:00,3.2141793,4.448443
2017-04-30 00:00:00,4.401771,4.1837263
2017-04-30 00:30:00,4.7571044,4.4564867
2017-04-30 01:00:00,3.4828632,3.5968463
2017-04-30 01:30:00,3.9848833,3.1790597
2017-04-30 02:00:00,2.9245338,3.1940253
2017-04-30 02:30:00,3.7254348,4.1875377
2017-04-30 03:00:00,3.6678855,4.3299503
2017-04-30 03:30:00,3.8961327,3.5467381
2017-04-30 04:00:00,3.4233153,4.2457542
2017-04-30 04:30:00,2.0186913,4.167729
2017-04-30 05:00:00,1.9365547,3.9472609
2017-04-30 05:30:00,1.8544219,4.1216865
2017-04-30 06:00:00,2.645883,2.4741914
2017-04-30 06:30:00,1.88507,0.21440552
2017-04-30 07:00:00,-4.296808,-2.4207087
2017-04-30 07:30:00,-5.3672795,-9.455017
2017-04-30 08:00:00,-12.584706,-13.7146015
2017-04-30 08:30:00,-21.410503,-12.4000025
2017-04-30 09:00:00,-15.773159,-16.91393
2017-04-30 09:30:00,-17.251215,-17.339527
2017-04-30 10:00:00,-17.956398,-17.596563
2017-04-30 10:30:00,-27.93808,-17.107338
2017-04-30 11:00:00,-22.603394,-20.557362
2017-04-30 11:30:00,-23.911047,-19.763784
2017-04-30 12:00:00,-24.57782,-19.904848
2017-04-30 12:30:00,-39.500713,-20.067753
2017-04-30 13:00:00,-19.577208,-21.258917
