时间,真实值,预测值
2017-04-28 19:00:00,3.6850624,0.7340009
2017-04-28 19:30:00,-4.646509,-2.865912
2017-04-28 20:00:00,9.604355,14.66294
2017-04-28 20:30:00,7.517701,2.0885093
2017-04-28 21:00:00,-14.226081,-14.322049
2017-04-28 21:30:00,5.839288,4.1391892
2017-04-28 22:00:00,0.51726454,0.53856385
2017-04-28 22:30:00,8.395672,10.259278
2017-04-28 23:00:00,-9.107037,-13.493056
2017-04-28 23:30:00,5.3883505,5.8230443
2017-04-29 00:00:00,-9.185245,-9.130623
2017-04-29 00:30:00,0.51726454,0.41720405
2017-04-29 01:00:00,6.200114,4.747005
2017-04-29 01:30:00,1.8170116,0.37781018
2017-04-29 02:00:00,1.0457157,1.25704
2017-04-29 02:30:00,-3.0959566,-2.5474386
2017-04-29 03:00:00,2.8446918,2.4612625
2017-04-29 03:30:00,0.51726454,0.5233858
2017-04-29 04:00:00,-18.592497,-21.006195
2017-04-29 04:30:00,0.51726454,0.39342818
2017-04-29 05:00:00,3.5559847,5.0320196
2017-04-29 05:30:00,0.51726454,1.1654712
2017-04-29 06:00:00,4.6273136,3.9131994
2017-04-29 06:30:00,0.51726454,0.50517744
2017-04-29 07:00:00,3.195914,1.7535952
2017-04-29 07:30:00,-4.9969616,-1.7976394
2017-04-29 08:00:00,-6.466883,-6.41032
2017-04-29 08:30:00,3.098903,3.5785773
2017-04-29 09:00:00,0.51726454,0.42574123
2017-04-29 09:30:00,2.7166266,2.0998
2017-04-29 10:00:00,-0.7490923,-1.8196896
2017-04-29 10:30:00,4.5363064,8.155972
2017-04-29 11:00:00,7.901274,6.352929
2017-04-29 11:30:00,-16.657516,-18.452915
2017-04-29 12:00:00,4.513509,5.014706
2017-04-29 12:30:00,-7.726709,-11.782797
2017-04-29 13:00:00,3.4169095,3.1109748
2017-04-29 13:30:00,5.0237856,7.3758726
2017-04-29 14:00:00,-21.079512,-25.307955
2017-04-29 14:30:00,0.51726454,0.45180783
2017-04-29 15:00:00,-10.392046,-7.5419216
2017-04-29 15:30:00,0.51726454,0.5786593
2017-04-29 16:00:00,-24.139069,-26.117683
2017-04-29 16:30:00,-1.0734402,2.656859
2017-04-29 17:00:00,-16.354671,-17.713705
2017-04-29 17:30:00,4.3390636,3.9687042
2017-04-29 18:00:00,0.51726454,0.49877933
2017-04-29 18:30:00,-1.6528678,-1.2788442
2017-04-29 19:00:00,-6.4471197,-4.5398645
2017-04-29 19:30:00,2.0057774,0.5247094
2017-04-29 20:00:00,-15.403451,-21.69069
2017-04-29 20:30:00,-6.204074,-4.2406693
2017-04-29 21:00:00,-16.747108,-15.589672
2017-04-29 21:30:00,-1.5574077,-4.0928903
2017-04-29 22:00:00,0.9352369,-0.4455051
2017-04-29 22:30:00,0.51726454,0.45241845
2017-04-29 23:00:00,0.51726454,0.5542918
2017-04-29 23:30:00,5.8119965,7.2542925
2017-04-30 00:00:00,5.5106473,5.5120654
2017-04-30 00:30:00,0.51726454,0.5181975
2017-04-30 01:00:00,0.51726454,0.52863854
2017-04-30 01:30:00,-23.40834,-20.66837
2017-04-30 02:00:00,0.51726454,0.4033117
2017-04-30 02:30:00,-13.48205,-12.563665
2017-04-30 03:00:00,0.51726454,1.565258
2017-04-30 03:30:00,-3.9199393,-2.9898846
2017-04-30 04:00:00,0.51726454,0.5287372
2017-04-30 04:30:00,0.51726454,0.5476623
2017-04-30 05:00:00,4.205659,2.7643566
2017-04-30 05:30:00,0.51726454,0.56736493
2017-04-30 06:00:00,-8.545867,-6.493943
2017-04-30 06:30:00,5.121366,4.5751996
2017-04-30 07:00:00,0.51726454,0.54769266
2017-04-30 07:30:00,-3.4265888,-3.5977113
2017-04-30 08:00:00,5.417345,2.5249176
2017-04-30 08:30:00,-7.2242675,-9.553568
2017-04-30 09:00:00,-14.890133,-11.460424
2017-04-30 09:30:00,4.0677633,4.8016562
2017-04-30 10:00:00,-0.81575125,2.8128376
2017-04-30 10:30:00,3.3113954,3.425845
2017-04-30 11:00:00,-6.2443514,-19.974403
2017-04-30 11:30:00,-18.03752,-19.330608
2017-04-30 12:00:00,0.51726454,0.5126641
2017-04-30 12:30:00,7.431389,5.1983824
2017-04-30 13:00:00,-2.920586,-2.4934888
2017-04-30 13:30:00,0.51726454,0.4992117
2017-04-30 14:00:00,0.51726454,0.30812854
2017-04-30 14:30:00,2.9057982,-0.4337025
2017-04-30 15:00:00,0.51726454,0.5179586
2017-04-30 15:30:00,2.2029743,2.8799024
2017-04-30 16:00:00,-2.4275162,-2.5993443
2017-04-30 16:30:00,3.8311918,2.8619595
2017-04-30 17:00:00,-3.1133077,-2.1298873
2017-04-30 17:30:00,1.5043031,3.1121771
2017-04-30 18:00:00,0.51726454,0.5335955
2017-04-30 18:30:00,14.349193,8.82388
2017-04-30 19:00:00,6.6305637,6.22304
2017-04-30 19:30:00,-0.827569,-0.6597308
2017-04-30 20:00:00,-10.418689,-9.074947
2017-04-30 20:30:00,-2.4171586,-4.012684
2017-04-30 21:00:00,0.51726454,0.5643308
2017-04-30 21:30:00,2.1807609,1.5402837
2017-04-30 22:00:00,8.647342,8.984054
2017-04-30 22:30:00,-10.133299,-9.085859
2017-04-30 23:00:00,2.3294086,2.5752609
2017-04-30 23:30:00,0.51726454,0.49046594
2017-05-01 00:00:00,5.4971604,8.223962
2017-05-01 00:30:00,0.51726454,0.5649604
2017-05-01 01:00:00,0.51726454,0.48107922
2017-05-01 01:30:00,0.51726454,0.41442785
2017-05-01 02:00:00,6.9130144,10.046073
2017-05-01 02:30:00,0.51726454,0.4139993
2017-05-01 03:00:00,-28.741121,-28.70213
2017-05-01 03:30:00,-8.849686,-7.810078
2017-05-01 04:00:00,2.9664838,2.7869303
2017-05-01 04:30:00,-41.912407,-43.084354
2017-05-01 05:00:00,-10.901265,-13.779223
2017-05-01 05:30:00,4.173308,3.5973012
2017-05-01 06:00:00,4.7022977,6.5851583
2017-05-01 06:30:00,1.9885135,3.498022
2017-05-01 07:00:00,0.51726454,0.40772632
2017-05-01 07:30:00,-8.78215,-7.342715
2017-05-01 08:00:00,0.41349488,-0.47874355
2017-05-01 08:30:00,-47.59462,-41.276917
2017-05-01 09:00:00,-2.871851,-1.3203961
2017-05-01 09:30:00,2.350135,2.439599
2017-05-01 10:00:00,4.7258344,3.5008514
2017-05-01 10:30:00,0.51726454,0.3601973
2017-05-01 11:00:00,5.43872,8.843223
2017-05-01 11:30:00,5.125367,3.961813
2017-05-01 12:00:00,-21.16562,-18.428047
2017-05-01 12:30:00,-5.624153,-6.7216706
2017-05-01 13:00:00,-14.895741,-21.377398
2017-05-01 13:30:00,-4.432363,-5.80051
2017-05-01 14:00:00,3.1742089,2.1095774
2017-05-01 14:30:00,-36.432167,-37.68024
2017-05-01 15:00:00,0.51726454,0.56847996
2017-05-01 15:30:00,0.51726454,0.52626437
2017-05-01 16:00:00,0.51726454,0.5021092
2017-05-01 16:30:00,5.9585357,7.5475907
2017-05-01 17:00:00,8.768156,6.1914096
2017-05-01 17:30:00,3.88923,3.3284848
2017-05-01 18:00:00,-1.0632684,-2.1675403
2017-05-01 18:30:00,2.621527,3.158428
2017-05-01 19:00:00,3.5190144,2.1263976
2017-05-01 19:30:00,1.5043031,3.5469506
2017-05-01 20:00:00,-7.302547,-6.1962004
2017-05-01 20:30:00,-8.16441,-7.8924384
2017-05-01 21:00:00,5.19415,11.217641
2017-05-01 21:30:00,-14.477895,-17.355982
2017-05-01 22:00:00,12.581771,11.969723
2017-05-01 22:30:00,4.494519,3.4881916
2017-05-01 23:00:00,22.155699,30.072912
2017-05-01 23:30:00,1.0665712,2.6857927
2017-05-02 00:00:00,2.449202,4.2249594
2017-05-02 00:30:00,4.782401,2.6656842
2017-05-02 01:00:00,0.83899933,0.524224
2017-05-02 01:30:00,4.930108,3.9018784
2017-05-02 02:00:00,2.6864488,3.0042734
2017-05-02 02:30:00,3.88934,2.2041652
2017-05-02 03:00:00,6.1391096,10.397671
2017-05-02 03:30:00,-21.37212,-18.223898
2017-05-02 04:00:00,-8.221656,-5.7964025
2017-05-02 04:30:00,0.51726454,0.54727924
2017-05-02 05:00:00,1.7332896,2.393519
2017-05-02 05:30:00,5.4106436,5.62895
2017-05-02 06:00:00,5.672637,5.1061993
2017-05-02 06:30:00,0.51726454,0.5656203
2017-05-02 07:00:00,3.8653214,1.689083
2017-05-02 07:30:00,1.3504103,2.3994203
2017-05-02 08:00:00,0.51726454,0.57082
2017-05-02 08:30:00,2.1806927,1.215545
2017-05-02 09:00:00,0.51726454,0.43193454
2017-05-02 09:30:00,-11.090835,-13.595859
2017-05-02 10:00:00,4.328877,6.0364547
2017-05-02 10:30:00,-12.498493,-14.276901
2017-05-02 11:00:00,1.902023,2.0352573
2017-05-02 11:30:00,2.321516,-1.0149884
2017-05-02 12:00:00,0.51726454,0.5247777
2017-05-02 12:30:00,-11.953954,-10.810015
2017-05-02 13:00:00,1.3611624,1.5956026
2017-05-02 13:30:00,6.566142,7.255662
2017-05-02 14:00:00,0.51726454,0.5537419
2017-05-02 14:30:00,5.8591275,4.3063793
2017-05-02 15:00:00,2.5299354,0.880866
2017-05-02 15:30:00,-6.2311645,-0.54307765
2017-05-02 16:00:00,7.6770587,6.7152715
2017-05-02 16:30:00,6.438263,6.6017513
2017-05-02 17:00:00,-8.904333,-3.1754951
2017-05-02 17:30:00,7.996769,8.641927
2017-05-02 18:00:00,4.6181507,8.667273
2017-05-02 18:30:00,-8.827624,-8.875578
2017-05-02 19:00:00,6.1846967,6.0914326
2017-05-02 19:30:00,0.51726454,0.51241374
2017-05-02 20:00:00,45.67485,64.29067
2017-05-02 20:30:00,5.0464087,4.958003
2017-05-02 21:00:00,7.197301,10.5406065
2017-05-02 21:30:00,-2.632928,-2.9220653
2017-05-02 22:00:00,1.022888,1.3635479
2017-05-02 22:30:00,-10.328265,-6.5917735
2017-05-02 23:00:00,-33.355003,-28.771774
2017-05-02 23:30:00,-1.4380239,-0.38260084
2017-05-03 00:00:00,6.4230356,7.705962
2017-05-03 00:30:00,-1.3291608,2.23729
2017-05-03 01:00:00,2.1637738,3.6297433
2017-05-03 01:30:00,1.5697901,1.5688989
2017-05-03 02:00:00,6.6062756,8.5539
2017-05-03 02:30:00,7.745853,7.6752043
2017-05-03 03:00:00,0.51726454,0.52906334
2017-05-03 03:30:00,-13.78853,-15.290007
