时间,真实值,预测值
2018-07-25 23:30:00,23.268015,28.200954
2018-07-26 00:00:00,-9.261976,-9.906262
2018-07-26 00:30:00,-3.979874,-1.8816807
2018-07-26 01:00:00,3.494944,4.319085
2018-07-26 01:30:00,5.245324,6.5373607
2018-07-26 02:00:00,1.3734052,3.3142455
2018-07-26 02:30:00,-28.933239,-33.132267
2018-07-26 03:00:00,-1.4356626,-0.55910695
2018-07-26 03:30:00,-33.348045,-35.137184
2018-07-26 04:00:00,16.946655,24.679167
2018-07-26 04:30:00,2.3677497,2.973227
2018-07-26 05:00:00,-10.780847,-10.81024
2018-07-26 05:30:00,1.5117124,2.4043255
2018-07-26 06:00:00,-2.36084,-1.1814281
2018-07-26 06:30:00,-0.85363996,-1.0114213
2018-07-26 07:00:00,4.035637,5.8985715
2018-07-26 07:30:00,7.8780365,11.992944
2018-07-26 08:00:00,-17.982796,-17.299839
2018-07-26 08:30:00,-8.460115,-8.458716
2018-07-26 09:00:00,0.6915562,1.1157844
2018-07-26 09:30:00,2.954133,3.33455
2018-07-26 10:00:00,19.02218,22.070513
2018-07-26 10:30:00,0.58153176,0.05164851
2018-07-26 11:00:00,-4.5267234,-4.4431467
2018-07-26 11:30:00,-0.96981204,-0.057729244
2018-07-26 12:00:00,4.261768,6.545802
2018-07-26 12:30:00,-1.2092869,-1.8829697
2018-07-26 13:00:00,1.8361797,2.6730576
2018-07-26 13:30:00,-2.679575,-1.972432
2018-07-26 14:00:00,-1.1011108,-1.6922566
2018-07-26 14:30:00,-4.440608,-3.4553473
2018-07-26 15:00:00,1.4748439,3.7917142
2018-07-26 15:30:00,2.7185774,4.569304
2018-07-26 16:00:00,-7.416904,-10.871192
2018-07-26 16:30:00,-8.065541,-7.9670215
2018-07-26 17:00:00,-6.608392,-7.770873
2018-07-26 17:30:00,-1.0873998,0.91707546
2018-07-26 18:00:00,2.34471,5.235869
2018-07-26 18:30:00,-12.243178,-12.616898
2018-07-26 19:00:00,-37.273167,-38.87115
2018-07-26 19:30:00,4.2635813,2.9781294
2018-07-26 20:00:00,25.286882,22.245924
2018-07-26 20:30:00,14.515833,11.679693
2018-07-26 21:00:00,3.1519244,3.8149853
2018-07-26 21:30:00,1.2610781,2.1830182
2018-07-26 22:00:00,-20.068758,-27.310377
2018-07-26 22:30:00,-11.626765,-13.71448
2018-07-26 23:00:00,7.684387,10.7592125
2018-07-26 23:30:00,1.3493651,2.3555856
2018-07-27 00:00:00,1.3778445,2.6578653
2018-07-27 00:30:00,7.340931,8.1079035
2018-07-27 01:00:00,-0.16808572,0.083505385
2018-07-27 01:30:00,4.3946877,3.5353167
2018-07-27 02:00:00,0.9235421,0.9409976
2018-07-27 02:30:00,-8.314139,-5.2123566
2018-07-27 03:00:00,1.5801537,1.6579762
2018-07-27 03:30:00,-2.112819,-1.753056
2018-07-27 04:00:00,-3.011706,-4.903894
2018-07-27 04:30:00,5.123612,6.036848
2018-07-27 05:00:00,-5.7414618,-6.5968614
2018-07-27 05:30:00,4.539125,6.3935614
2018-07-27 06:00:00,3.087944,3.829356
2018-07-27 06:30:00,-38.95355,-47.78883
2018-07-27 07:00:00,-5.9285526,-3.657482
2018-07-27 07:30:00,6.434218,7.916299
2018-07-27 08:00:00,2.2041876,1.3332335
2018-07-27 08:30:00,27.505861,22.073833
2018-07-27 09:00:00,-1.5049735,-3.619569
2018-07-27 09:30:00,13.542964,14.343944
2018-07-27 10:00:00,5.563587,4.6841826
2018-07-27 10:30:00,0.8298721,-1.1075381
2018-07-27 11:00:00,0.65349483,1.1227841
2018-07-27 11:30:00,0.23650666,0.99476236
2018-07-27 12:00:00,2.5324302,5.6377
2018-07-27 12:30:00,3.0801928,2.5800211
