时间,真实值,预测值
2017-04-28 19:00:00,4.763002,-8.85264
2017-04-28 19:30:00,0.7422271,4.8839107
2017-04-28 20:00:00,0.7313992,1.6873004
2017-04-28 20:30:00,0.84702075,4.707258
2017-04-28 21:00:00,2.750798,6.251086
2017-04-28 21:30:00,-16.95379,4.2977095
2017-04-28 22:00:00,4.9836674,0.4025911
2017-04-28 22:30:00,5.9762697,-10.060844
2017-04-28 23:00:00,6.739055,6.505009
2017-04-28 23:30:00,-18.732035,-21.023413
2017-04-29 00:00:00,3.5818503,4.962243
2017-04-29 00:30:00,1.9413637,3.5581653
2017-04-29 01:00:00,-0.68671143,-1.3419192
2017-04-29 01:30:00,1.5043031,1.6769997
2017-04-29 02:00:00,5.9722347,4.400246
2017-04-29 02:30:00,5.809903,0.061225735
2017-04-29 03:00:00,-13.6138315,1.6876115
2017-04-29 03:30:00,8.1042595,4.9688573
2017-04-29 04:00:00,-15.441332,-9.390751
2017-04-29 04:30:00,0.51726454,2.3765545
2017-04-29 05:00:00,-15.787264,-9.533604
2017-04-29 05:30:00,1.2068979,2.4540374
2017-04-29 06:00:00,4.589911,2.8701174
2017-04-29 06:30:00,7.704199,6.7302146
2017-04-29 07:00:00,-20.1711,-17.984213
2017-04-29 07:30:00,0.51726454,-1.4601879
2017-04-29 08:00:00,8.919015,6.6558337
2017-04-29 08:30:00,3.5065215,4.443641
2017-04-29 09:00:00,-16.070362,-16.02858
2017-04-29 09:30:00,1.3073756,-1.3141572
2017-04-29 10:00:00,3.1401968,2.2607508
2017-04-29 10:30:00,50.0427,-16.57791
2017-04-29 11:00:00,6.20033,4.6300635
2017-04-29 11:30:00,7.901274,4.930643
2017-04-29 12:00:00,1.0871689,4.4088025
2017-04-29 12:30:00,0.51726454,4.3918495
2017-04-29 13:00:00,0.51726454,4.823661
2017-04-29 13:30:00,-16.024002,-19.19595
2017-04-29 14:00:00,-4.8768,-0.70087683
2017-04-29 14:30:00,-11.097411,-13.250939
2017-04-29 15:00:00,0.51726454,4.9989634
2017-04-29 15:30:00,0.51726454,2.1503024
2017-04-29 16:00:00,-10.394242,-2.5083218
2017-04-29 16:30:00,-23.916357,-16.68369
2017-04-29 17:00:00,6.0238824,4.4095
2017-04-29 17:30:00,-7.6399946,-7.201254
2017-04-29 18:00:00,0.51726454,3.6740296
2017-04-29 18:30:00,-23.914192,-18.341093
2017-04-29 19:00:00,1.4909986,2.5369592
2017-04-29 19:30:00,-21.333849,-16.520247
2017-04-29 20:00:00,3.9914482,4.411222
2017-04-29 20:30:00,1.0757343,3.579184
2017-04-29 21:00:00,48.18697,5.890439
2017-04-29 21:30:00,1.8066008,1.0575145
2017-04-29 22:00:00,-2.3254154,1.3883743
2017-04-29 22:30:00,-13.986763,-7.8148227
2017-04-29 23:00:00,-1.7217036,-20.271597
2017-04-29 23:30:00,2.1302698,0.3217478
2017-04-30 00:00:00,1.6646017,2.3132102
2017-04-30 00:30:00,-12.335206,-10.033789
2017-04-30 01:00:00,-26.456766,-23.318613
2017-04-30 01:30:00,3.0055213,4.2792015
2017-04-30 02:00:00,-7.804545,0.5059853
2017-04-30 02:30:00,6.924692,4.251652
2017-04-30 03:00:00,1.9240618,3.6252718
2017-04-30 03:30:00,-3.8842926,3.947272
2017-04-30 04:00:00,-32.604523,-14.042025
2017-04-30 04:30:00,-7.542604,0.11550558
2017-04-30 05:00:00,-6.3001714,-19.309566
2017-04-30 05:30:00,2.4927752,4.4098644
2017-04-30 06:00:00,33.308327,6.1626124
2017-04-30 06:30:00,11.213252,3.4768896
2017-04-30 07:00:00,-40.181126,-22.551142
2017-04-30 07:30:00,3.8786488,5.0846915
2017-04-30 08:00:00,13.986823,3.65493
2017-04-30 08:30:00,-1.9083723,-23.21343
2017-04-30 09:00:00,-25.667624,-18.812416
2017-04-30 09:30:00,2.329507,4.775214
2017-04-30 10:00:00,0.51726454,3.3181083
2017-04-30 10:30:00,0.87465745,4.473125
2017-04-30 11:00:00,-6.93202,-12.274122
2017-04-30 11:30:00,-4.553954,-14.551411
2017-04-30 12:00:00,3.1477592,3.379321
2017-04-30 12:30:00,-22.962425,-7.737332
2017-04-30 13:00:00,-43.5686,-0.17767088
2017-04-30 13:30:00,-14.798272,-0.088157654
2017-04-30 14:00:00,0.51726454,4.664523
2017-04-30 14:30:00,3.1974046,4.992523
