时间,真实值,预测值
2018-07-25 23:30:00,3.186949,0.97086644
2018-07-26 00:00:00,-1.558581,1.3285495
2018-07-26 00:30:00,-24.548553,-24.272963
2018-07-26 01:00:00,4.04213,0.76776624
2018-07-26 01:30:00,-2.9010134,-1.311617
2018-07-26 02:00:00,4.1333137,1.8848892
2018-07-26 02:30:00,-25.445415,3.7406976
2018-07-26 03:00:00,-5.9553804,-4.0022054
2018-07-26 03:30:00,0.42385095,0.48205933
2018-07-26 04:00:00,-23.290451,-10.933224
2018-07-26 04:30:00,3.7360182,1.2894264
2018-07-26 05:00:00,3.5675406,-1.2878128
2018-07-26 05:30:00,-0.12914616,-0.21544503
2018-07-26 06:00:00,10.6304655,1.0409462
2018-07-26 06:30:00,12.997736,3.6588948
2018-07-26 07:00:00,22.346813,0.43981653
2018-07-26 07:30:00,23.556807,-2.2735977
2018-07-26 08:00:00,0.9353655,0.35034987
2018-07-26 08:30:00,-14.874191,-9.014768
2018-07-26 09:00:00,-2.720319,-2.1964962
2018-07-26 09:30:00,-2.6073759,-2.5283215
2018-07-26 10:00:00,-11.944547,-7.673122
2018-07-26 10:30:00,-8.313043,-2.614568
2018-07-26 11:00:00,-16.531033,-11.554186
2018-07-26 11:30:00,4.5084696,-3.223143
2018-07-26 12:00:00,-26.361387,-2.5364964
2018-07-26 12:30:00,1.3520916,0.39963606
2018-07-26 13:00:00,1.3413386,1.5099777
2018-07-26 13:30:00,-2.762125,2.9389496
2018-07-26 14:00:00,-1.0035958,-0.63180405
2018-07-26 14:30:00,-15.038518,-6.929862
2018-07-26 15:00:00,1.1878567,0.32200593
2018-07-26 15:30:00,-0.70620084,-0.063444346
2018-07-26 16:00:00,0.52612853,0.99096537
2018-07-26 16:30:00,31.611296,2.271174
2018-07-26 17:00:00,-14.640575,-8.539611
2018-07-26 17:30:00,-5.3260336,-4.202391
2018-07-26 18:00:00,0.5332636,0.9990356
2018-07-26 18:30:00,-2.7896388,1.1541516
2018-07-26 19:00:00,-5.57835,2.917649
2018-07-26 19:30:00,-16.15918,-8.895581
2018-07-26 20:00:00,1.5584949,0.46339348
2018-07-26 20:30:00,14.933476,1.5664603
2018-07-26 21:00:00,2.1734536,1.1260567
2018-07-26 21:30:00,13.826967,-0.64206326
2018-07-26 22:00:00,-10.503992,-5.379462
2018-07-26 22:30:00,-19.15014,6.695199
2018-07-26 23:00:00,8.756012,2.8947275
2018-07-26 23:30:00,-2.203295,-3.1885116
2018-07-27 00:00:00,6.0276814,-2.1065228
2018-07-27 00:30:00,5.8398256,3.1968193
2018-07-27 01:00:00,-10.7065115,-6.527826
2018-07-27 01:30:00,3.8771653,1.5727041
2018-07-27 02:00:00,0.6608135,0.46896005
2018-07-27 02:30:00,-1.7415996,-5.296414
2018-07-27 03:00:00,2.9315085,3.8979328
2018-07-27 03:30:00,1.1495594,1.641945
2018-07-27 04:00:00,0.6462199,1.2632585
2018-07-27 04:30:00,3.8937252,2.4254732
2018-07-27 05:00:00,-1.2997979,-2.1972215
2018-07-27 05:30:00,-1.4912844,0.41208866
2018-07-27 06:00:00,0.86644787,0.9086033
2018-07-27 06:30:00,17.664005,2.9590528
2018-07-27 07:00:00,-10.744324,-18.161606
2018-07-27 07:30:00,-10.2410145,-11.724551
2018-07-27 08:00:00,0.49850115,0.39198095
2018-07-27 08:30:00,1.2888322,0.5512872
2018-07-27 09:00:00,-2.7752156,-1.4428414
2018-07-27 09:30:00,3.8154528,3.3486104
